O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-2031.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-2031.00	1.B.1.h	Second Interest High-Point	IH	3.00	06/2008	Analyst
11-2031.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3011.00	1.B.1.a	Realistic	OI	2.00	06/2008	Analyst
11-3011.00	1.B.1.b	Investigative	OI	2.33	06/2008	Analyst
11-3011.00	1.B.1.c	Artistic	OI	1.00	06/2008	Analyst
11-3011.00	1.B.1.d	Social	OI	2.67	06/2008	Analyst
11-3011.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3011.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-3011.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3011.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3011.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3021.00	1.B.1.a	Realistic	OI	4.00	06/2008	Analyst
11-3021.00	1.B.1.b	Investigative	OI	4.33	06/2008	Analyst
11-3021.00	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
11-3021.00	1.B.1.d	Social	OI	1.67	06/2008	Analyst
11-3021.00	1.B.1.e	Enterprising	OI	6.67	06/2008	Analyst
11-3021.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-3021.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3021.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3021.00	1.B.1.i	Third Interest High-Point	IH	2.00	06/2008	Analyst
11-3031.01	1.B.1.a	Realistic	OI	1.67	06/2008	Analyst
11-3031.01	1.B.1.b	Investigative	OI	2.67	06/2008	Analyst
11-3031.01	1.B.1.c	Artistic	OI	1.00	06/2008	Analyst
11-3031.01	1.B.1.d	Social	OI	2.67	06/2008	Analyst
11-3031.01	1.B.1.e	Enterprising	OI	6.00	06/2008	Analyst
11-3031.01	1.B.1.f	Conventional	OI	7.00	06/2008	Analyst
11-3031.01	1.B.1.g	First Interest High-Point	IH	6.00	06/2008	Analyst
11-3031.01	1.B.1.h	Second Interest High-Point	IH	5.00	06/2008	Analyst
11-3031.01	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3031.02	1.B.1.a	Realistic	OI	1.67	06/2008	Analyst
11-3031.02	1.B.1.b	Investigative	OI	1.67	06/2008	Analyst
11-3031.02	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
11-3031.02	1.B.1.d	Social	OI	3.33	06/2008	Analyst
11-3031.02	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3031.02	1.B.1.f	Conventional	OI	5.00	06/2008	Analyst
11-3031.02	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3031.02	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3031.02	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3051.00	1.B.1.a	Realistic	OI	2.67	06/2008	Analyst
11-3051.00	1.B.1.b	Investigative	OI	2.33	06/2008	Analyst
11-3051.00	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
11-3051.00	1.B.1.d	Social	OI	3.33	06/2008	Analyst
11-3051.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3051.00	1.B.1.f	Conventional	OI	6.00	06/2008	Analyst
11-3051.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3051.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3051.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3051.01	1.B.1.a	Realistic	OI	4.33	06/2009	Analyst
11-3051.01	1.B.1.b	Investigative	OI	3.33	06/2009	Analyst
11-3051.01	1.B.1.c	Artistic	OI	1.33	06/2009	Analyst
11-3051.01	1.B.1.d	Social	OI	2.00	06/2009	Analyst
11-3051.01	1.B.1.e	Enterprising	OI	7.00	06/2009	Analyst
11-3051.01	1.B.1.f	Conventional	OI	5.67	06/2009	Analyst
11-3051.01	1.B.1.g	First Interest High-Point	IH	5.00	06/2009	Analyst
11-3051.01	1.B.1.h	Second Interest High-Point	IH	6.00	06/2009	Analyst
11-3051.01	1.B.1.i	Third Interest High-Point	IH	1.00	06/2009	Analyst
11-3051.02	1.B.1.a	Realistic	OI	3.67	07/2013	Analyst
11-3051.02	1.B.1.b	Investigative	OI	3.33	07/2013	Analyst
11-3051.02	1.B.1.c	Artistic	OI	2.00	07/2013	Analyst
11-3051.02	1.B.1.d	Social	OI	1.67	07/2013	Analyst
11-3051.02	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-3051.02	1.B.1.f	Conventional	OI	5.67	07/2013	Analyst
11-3051.02	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-3051.02	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-3051.02	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
11-3051.03	1.B.1.a	Realistic	OI	4.00	07/2013	Analyst
11-3051.03	1.B.1.b	Investigative	OI	3.33	07/2013	Analyst
11-3051.03	1.B.1.c	Artistic	OI	1.33	07/2013	Analyst
11-3051.03	1.B.1.d	Social	OI	2.00	07/2013	Analyst
11-3051.03	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-3051.03	1.B.1.f	Conventional	OI	5.67	07/2013	Analyst
11-3051.03	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-3051.03	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-3051.03	1.B.1.i	Third Interest High-Point	IH	1.00	07/2013	Analyst
11-3051.04	1.B.1.a	Realistic	OI	5.00	07/2013	Analyst
11-3051.04	1.B.1.b	Investigative	OI	3.00	07/2013	Analyst
11-3051.04	1.B.1.c	Artistic	OI	1.33	07/2013	Analyst
11-3051.04	1.B.1.d	Social	OI	2.00	07/2013	Analyst
11-3051.04	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-3051.04	1.B.1.f	Conventional	OI	5.67	07/2013	Analyst
11-3051.04	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-3051.04	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-3051.04	1.B.1.i	Third Interest High-Point	IH	1.00	07/2013	Analyst
11-3051.05	1.B.1.a	Realistic	OI	4.67	07/2013	Analyst
11-3051.05	1.B.1.b	Investigative	OI	3.00	07/2013	Analyst
11-3051.05	1.B.1.c	Artistic	OI	1.67	07/2013	Analyst
11-3051.05	1.B.1.d	Social	OI	1.33	07/2013	Analyst
11-3051.05	1.B.1.e	Enterprising	OI	5.33	07/2013	Analyst
11-3051.05	1.B.1.f	Conventional	OI	6.67	07/2013	Analyst
11-3051.05	1.B.1.g	First Interest High-Point	IH	6.00	07/2013	Analyst
11-3051.05	1.B.1.h	Second Interest High-Point	IH	5.00	07/2013	Analyst
11-3051.05	1.B.1.i	Third Interest High-Point	IH	1.00	07/2013	Analyst
11-3051.06	1.B.1.a	Realistic	OI	3.67	07/2013	Analyst
11-3051.06	1.B.1.b	Investigative	OI	3.00	07/2013	Analyst
11-3051.06	1.B.1.c	Artistic	OI	1.33	07/2013	Analyst
11-3051.06	1.B.1.d	Social	OI	1.33	07/2013	Analyst
11-3051.06	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-3051.06	1.B.1.f	Conventional	OI	5.67	07/2013	Analyst
11-3051.06	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-3051.06	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-3051.06	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
11-3061.00	1.B.1.a	Realistic	OI	2.67	06/2008	Analyst
11-3061.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-3061.00	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
11-3061.00	1.B.1.d	Social	OI	2.67	06/2008	Analyst
11-3061.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3061.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-3061.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3061.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3061.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3071.01	1.B.1.a	Realistic	OI	2.67	06/2008	Analyst
11-3071.01	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-3071.01	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
11-3071.01	1.B.1.d	Social	OI	2.00	06/2008	Analyst
11-3071.01	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3071.01	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-3071.01	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3071.01	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3071.01	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3071.02	1.B.1.a	Realistic	OI	3.33	06/2008	Analyst
11-3071.02	1.B.1.b	Investigative	OI	1.00	06/2008	Analyst
11-3071.02	1.B.1.c	Artistic	OI	1.00	06/2008	Analyst
11-3071.02	1.B.1.d	Social	OI	2.33	06/2008	Analyst
11-3071.02	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3071.02	1.B.1.f	Conventional	OI	5.00	06/2008	Analyst
11-3071.02	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3071.02	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3071.02	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-3071.03	1.B.1.a	Realistic	OI	3.00	06/2009	Analyst
11-3071.03	1.B.1.b	Investigative	OI	2.00	06/2009	Analyst
11-3071.03	1.B.1.c	Artistic	OI	1.33	06/2009	Analyst
11-3071.03	1.B.1.d	Social	OI	1.33	06/2009	Analyst
11-3071.03	1.B.1.e	Enterprising	OI	7.00	06/2009	Analyst
11-3071.03	1.B.1.f	Conventional	OI	5.33	06/2009	Analyst
11-3071.03	1.B.1.g	First Interest High-Point	IH	5.00	06/2009	Analyst
11-3071.03	1.B.1.h	Second Interest High-Point	IH	6.00	06/2009	Analyst
11-3071.03	1.B.1.i	Third Interest High-Point	IH	0.00	06/2009	Analyst
11-3111.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
11-3111.00	1.B.1.b	Investigative	OI	1.33	06/2008	Analyst
11-3111.00	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
11-3111.00	1.B.1.d	Social	OI	4.67	06/2008	Analyst
11-3111.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3111.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-3111.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3111.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-3111.00	1.B.1.i	Third Interest High-Point	IH	4.00	06/2008	Analyst
11-3121.00	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
11-3121.00	1.B.1.b	Investigative	OI	2.33	06/2008	Analyst
11-3121.00	1.B.1.c	Artistic	OI	2.33	06/2008	Analyst
11-3121.00	1.B.1.d	Social	OI	5.67	06/2008	Analyst
11-3121.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3121.00	1.B.1.f	Conventional	OI	5.00	06/2008	Analyst
11-3121.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3121.00	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
11-3121.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-3131.00	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
11-3131.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-3131.00	1.B.1.c	Artistic	OI	3.67	06/2008	Analyst
11-3131.00	1.B.1.d	Social	OI	6.00	06/2008	Analyst
11-3131.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-3131.00	1.B.1.f	Conventional	OI	4.00	06/2008	Analyst
11-3131.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-3131.00	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
11-3131.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
11-9013.01	1.B.1.a	Realistic	OI	6.00	06/2008	Analyst
11-9013.01	1.B.1.b	Investigative	OI	2.33	06/2008	Analyst
11-9013.01	1.B.1.c	Artistic	OI	2.67	06/2008	Analyst
11-9013.01	1.B.1.d	Social	OI	2.67	06/2008	Analyst
11-9013.01	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-9013.01	1.B.1.f	Conventional	OI	4.67	06/2008	Analyst
11-9013.01	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9013.01	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
11-9013.01	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-9013.02	1.B.1.a	Realistic	OI	6.67	07/2013	Analyst
11-9013.02	1.B.1.b	Investigative	OI	2.67	07/2013	Analyst
11-9013.02	1.B.1.c	Artistic	OI	1.33	07/2013	Analyst
11-9013.02	1.B.1.d	Social	OI	1.67	07/2013	Analyst
11-9013.02	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-9013.02	1.B.1.f	Conventional	OI	5.00	07/2013	Analyst
11-9013.02	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-9013.02	1.B.1.h	Second Interest High-Point	IH	1.00	07/2013	Analyst
11-9013.02	1.B.1.i	Third Interest High-Point	IH	6.00	07/2013	Analyst
11-9013.03	1.B.1.a	Realistic	OI	6.00	06/2008	Analyst
11-9013.03	1.B.1.b	Investigative	OI	3.67	06/2008	Analyst
11-9013.03	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
11-9013.03	1.B.1.d	Social	OI	1.67	06/2008	Analyst
11-9013.03	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-9013.03	1.B.1.f	Conventional	OI	4.67	06/2008	Analyst
11-9013.03	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9013.03	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
11-9013.03	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-9021.00	1.B.1.a	Realistic	OI	5.67	06/2008	Analyst
11-9021.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-9021.00	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
11-9021.00	1.B.1.d	Social	OI	2.00	06/2008	Analyst
11-9021.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-9021.00	1.B.1.f	Conventional	OI	4.67	06/2008	Analyst
11-9021.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9021.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
11-9021.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-9031.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
11-9031.00	1.B.1.b	Investigative	OI	1.67	06/2008	Analyst
11-9031.00	1.B.1.c	Artistic	OI	2.67	06/2008	Analyst
11-9031.00	1.B.1.d	Social	OI	6.00	06/2008	Analyst
11-9031.00	1.B.1.e	Enterprising	OI	6.00	06/2008	Analyst
11-9031.00	1.B.1.f	Conventional	OI	4.00	06/2008	Analyst
11-9031.00	1.B.1.g	First Interest High-Point	IH	4.00	06/2008	Analyst
11-9031.00	1.B.1.h	Second Interest High-Point	IH	5.00	06/2008	Analyst
11-9031.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-9032.00	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
11-9032.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
11-9032.00	1.B.1.c	Artistic	OI	2.67	06/2008	Analyst
11-9032.00	1.B.1.d	Social	OI	6.33	06/2008	Analyst
11-9032.00	1.B.1.e	Enterprising	OI	6.67	06/2008	Analyst
11-9032.00	1.B.1.f	Conventional	OI	4.33	06/2008	Analyst
11-9032.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9032.00	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
11-9032.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
11-9033.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
11-9033.00	1.B.1.b	Investigative	OI	3.00	06/2008	Analyst
11-9033.00	1.B.1.c	Artistic	OI	3.00	06/2008	Analyst
11-9033.00	1.B.1.d	Social	OI	4.67	06/2008	Analyst
11-9033.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-9033.00	1.B.1.f	Conventional	OI	5.00	06/2008	Analyst
11-9033.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9033.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-9033.00	1.B.1.i	Third Interest High-Point	IH	4.00	06/2008	Analyst
11-9039.01	1.B.1.a	Realistic	OI	1.33	07/2013	Analyst
11-9039.01	1.B.1.b	Investigative	OI	3.33	07/2013	Analyst
11-9039.01	1.B.1.c	Artistic	OI	2.67	07/2013	Analyst
11-9039.01	1.B.1.d	Social	OI	2.33	07/2013	Analyst
11-9039.01	1.B.1.e	Enterprising	OI	6.00	07/2013	Analyst
11-9039.01	1.B.1.f	Conventional	OI	4.67	07/2013	Analyst
11-9039.01	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-9039.01	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-9039.01	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
11-9039.02	1.B.1.a	Realistic	OI	3.67	07/2013	Analyst
11-9039.02	1.B.1.b	Investigative	OI	2.67	07/2013	Analyst
11-9039.02	1.B.1.c	Artistic	OI	2.33	07/2013	Analyst
11-9039.02	1.B.1.d	Social	OI	4.67	07/2013	Analyst
11-9039.02	1.B.1.e	Enterprising	OI	6.67	07/2013	Analyst
11-9039.02	1.B.1.f	Conventional	OI	3.33	07/2013	Analyst
11-9039.02	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-9039.02	1.B.1.h	Second Interest High-Point	IH	4.00	07/2013	Analyst
11-9039.02	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
11-9041.00	1.B.1.a	Realistic	OI	4.67	06/2008	Analyst
11-9041.00	1.B.1.b	Investigative	OI	4.67	06/2008	Analyst
11-9041.00	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
11-9041.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
11-9041.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-9041.00	1.B.1.f	Conventional	OI	4.00	06/2008	Analyst
11-9041.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9041.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
11-9041.00	1.B.1.i	Third Interest High-Point	IH	2.00	06/2008	Analyst
11-9041.01	1.B.1.a	Realistic	OI	3.00	07/2013	Analyst
11-9041.01	1.B.1.b	Investigative	OI	6.00	07/2013	Analyst
11-9041.01	1.B.1.c	Artistic	OI	1.67	07/2013	Analyst
11-9041.01	1.B.1.d	Social	OI	2.00	07/2013	Analyst
11-9041.01	1.B.1.e	Enterprising	OI	6.67	07/2013	Analyst
11-9041.01	1.B.1.f	Conventional	OI	3.33	07/2013	Analyst
11-9041.01	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-9041.01	1.B.1.h	Second Interest High-Point	IH	2.00	07/2013	Analyst
11-9041.01	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
11-9051.00	1.B.1.a	Realistic	OI	4.33	06/2008	Analyst
11-9051.00	1.B.1.b	Investigative	OI	1.67	06/2008	Analyst
11-9051.00	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
11-9051.00	1.B.1.d	Social	OI	4.33	06/2008	Analyst
11-9051.00	1.B.1.e	Enterprising	OI	7.00	06/2008	Analyst
11-9051.00	1.B.1.f	Conventional	OI	5.33	06/2008	Analyst
11-9051.00	1.B.1.g	First Interest High-Point	IH	5.00	06/2008	Analyst
11-9051.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
11-9051.00	1.B.1.i	Third Interest High-Point	IH	1.00	06/2008	Analyst
11-9061.00	1.B.1.a	Realistic	OI	1.33	07/2013	Analyst
11-9061.00	1.B.1.b	Investigative	OI	2.00	07/2013	Analyst
11-9061.00	1.B.1.c	Artistic	OI	2.00	07/2013	Analyst
11-9061.00	1.B.1.d	Social	OI	4.33	07/2013	Analyst
11-9061.00	1.B.1.e	Enterprising	OI	7.00	07/2013	Analyst
11-9061.00	1.B.1.f	Conventional	OI	4.67	07/2013	Analyst
11-9061.00	1.B.1.g	First Interest High-Point	IH	5.00	07/2013	Analyst
11-9061.00	1.B.1.h	Second Interest High-Point	IH	6.00	07/2013	Analyst
11-9061.00	1.B.1.i	Third Interest High-Point	IH	4.00	07/2013	Analyst
11-9071.00	1.B.1.a	Realistic	OI	3.33	06/2008	Analyst
11-9071.00	1.B.1.b	Investigative	OI	2.00	06/2008	Analyst
