Abilities Element ID	Abilities Element Name	Work Activities Element ID	Work Activities Element Name
1.A.1.b.2	Originality	4.A.2.b.2	Thinking Creatively
1.A.1.b.2	Originality	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.b.2	Originality	4.A.4.a.6	Selling or Influencing Others
1.A.1.b.2	Originality	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.2	Originality	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.2	Originality	4.A.4.b.2	Developing and Building Teams
1.A.1.b.2	Originality	4.A.4.b.3	Training and Teaching Others
1.A.1.b.2	Originality	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.b.2	Originality	4.A.4.b.5	Coaching and Developing Others
1.A.1.b.2	Originality	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.3	Problem Sensitivity	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.b.3	Problem Sensitivity	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.b.3	Problem Sensitivity	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.b.3	Problem Sensitivity	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.1.b.3	Problem Sensitivity	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.b.3	Problem Sensitivity	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.b.3	Problem Sensitivity	4.A.2.b.5	Scheduling Work and Activities
1.A.1.b.3	Problem Sensitivity	4.A.2.b.6	Organizing, Planning, and Prioritizing Work
1.A.1.b.3	Problem Sensitivity	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.1.b.3	Problem Sensitivity	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.b.3	Problem Sensitivity	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.b.3	Problem Sensitivity	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships
1.A.1.b.3	Problem Sensitivity	4.A.4.a.5	Assisting and Caring for Others
1.A.1.b.3	Problem Sensitivity	4.A.4.a.6	Selling or Influencing Others
1.A.1.b.3	Problem Sensitivity	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.3	Problem Sensitivity	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.1.b.3	Problem Sensitivity	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.3	Problem Sensitivity	4.A.4.b.2	Developing and Building Teams
1.A.1.b.3	Problem Sensitivity	4.A.4.b.3	Training and Teaching Others
1.A.1.b.3	Problem Sensitivity	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.b.3	Problem Sensitivity	4.A.4.b.5	Coaching and Developing Others
1.A.1.b.3	Problem Sensitivity	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.3	Problem Sensitivity	4.A.4.c.2	Staffing Organizational Units
1.A.1.b.3	Problem Sensitivity	4.A.4.c.3	Monitoring and Controlling Resources
1.A.1.b.4	Deductive Reasoning	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.b.4	Deductive Reasoning	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.b.4	Deductive Reasoning	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.b.4	Deductive Reasoning	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.b.4	Deductive Reasoning	4.A.2.a.1	Judging the Qualities of Things, Services, or People
1.A.1.b.4	Deductive Reasoning	4.A.2.a.2	Processing Information
1.A.1.b.4	Deductive Reasoning	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.1.b.4	Deductive Reasoning	4.A.2.a.4	Analyzing Data or Information
1.A.1.b.4	Deductive Reasoning	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.b.4	Deductive Reasoning	4.A.2.b.3	Updating and Using Relevant Knowledge
1.A.1.b.4	Deductive Reasoning	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.b.4	Deductive Reasoning	4.A.2.b.5	Scheduling Work and Activities
1.A.1.b.4	Deductive Reasoning	4.A.2.b.6	Organizing, Planning, and Prioritizing Work
1.A.1.b.4	Deductive Reasoning	4.A.3.b.1	Interacting With Computers
1.A.1.b.4	Deductive Reasoning	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
1.A.1.b.4	Deductive Reasoning	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.b.4	Deductive Reasoning	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.b.4	Deductive Reasoning	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.b.4	Deductive Reasoning	4.A.4.a.5	Assisting and Caring for Others
1.A.1.b.4	Deductive Reasoning	4.A.4.a.6	Selling or Influencing Others
1.A.1.b.4	Deductive Reasoning	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.4	Deductive Reasoning	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.1.b.4	Deductive Reasoning	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.4	Deductive Reasoning	4.A.4.b.2	Developing and Building Teams
1.A.1.b.4	Deductive Reasoning	4.A.4.b.3	Training and Teaching Others
1.A.1.b.4	Deductive Reasoning	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.b.4	Deductive Reasoning	4.A.4.b.5	Coaching and Developing Others
1.A.1.b.4	Deductive Reasoning	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.4	Deductive Reasoning	4.A.4.c.1	Performing Administrative Activities
1.A.1.b.4	Deductive Reasoning	4.A.4.c.2	Staffing Organizational Units
1.A.1.b.4	Deductive Reasoning	4.A.4.c.3	Monitoring and Controlling Resources
1.A.1.b.5	Inductive Reasoning	4.A.1.a.1	Getting Information
1.A.1.b.5	Inductive Reasoning	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.b.5	Inductive Reasoning	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.b.5	Inductive Reasoning	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.b.5	Inductive Reasoning	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.b.5	Inductive Reasoning	4.A.2.a.1	Judging the Qualities of Things, Services, or People
1.A.1.b.5	Inductive Reasoning	4.A.2.a.2	Processing Information
1.A.1.b.5	Inductive Reasoning	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.1.b.5	Inductive Reasoning	4.A.2.a.4	Analyzing Data or Information
1.A.1.b.5	Inductive Reasoning	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.b.5	Inductive Reasoning	4.A.2.b.2	Thinking Creatively
1.A.1.b.5	Inductive Reasoning	4.A.2.b.3	Updating and Using Relevant Knowledge
1.A.1.b.5	Inductive Reasoning	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.b.5	Inductive Reasoning	4.A.2.b.6	Organizing, Planning, and Prioritizing Work
1.A.1.b.5	Inductive Reasoning	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.b.5	Inductive Reasoning	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.b.5	Inductive Reasoning	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.b.5	Inductive Reasoning	4.A.4.a.5	Assisting and Caring for Others
1.A.1.b.5	Inductive Reasoning	4.A.4.a.6	Selling or Influencing Others
1.A.1.b.5	Inductive Reasoning	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.5	Inductive Reasoning	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.5	Inductive Reasoning	4.A.4.b.2	Developing and Building Teams
1.A.1.b.5	Inductive Reasoning	4.A.4.b.3	Training and Teaching Others
1.A.1.b.5	Inductive Reasoning	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.A.1.b.5	Inductive Reasoning	4.A.4.b.5	Coaching and Developing Others
1.A.1.b.5	Inductive Reasoning	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.5	Inductive Reasoning	4.A.4.c.2	Staffing Organizational Units
1.A.1.b.6	Information Ordering	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.b.6	Information Ordering	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.b.6	Information Ordering	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.b.6	Information Ordering	4.A.2.a.2	Processing Information
1.A.1.b.6	Information Ordering	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.1.b.6	Information Ordering	4.A.2.a.4	Analyzing Data or Information
1.A.1.b.6	Information Ordering	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.b.6	Information Ordering	4.A.2.b.5	Scheduling Work and Activities
1.A.1.b.6	Information Ordering	4.A.2.b.6	Organizing, Planning, and Prioritizing Work
1.A.1.b.6	Information Ordering	4.A.3.b.1	Interacting With Computers
1.A.1.b.6	Information Ordering	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
1.A.1.b.6	Information Ordering	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.b.6	Information Ordering	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.b.6	Information Ordering	4.A.3.b.6	Documenting/Recording Information
1.A.1.b.6	Information Ordering	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.b.6	Information Ordering	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates
1.A.1.b.6	Information Ordering	4.A.4.a.3	Communicating with Persons Outside Organization
1.A.1.b.6	Information Ordering	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.6	Information Ordering	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.6	Information Ordering	4.A.4.b.3	Training and Teaching Others
1.A.1.b.6	Information Ordering	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.6	Information Ordering	4.A.4.c.1	Performing Administrative Activities
1.A.1.b.6	Information Ordering	4.A.4.c.2	Staffing Organizational Units
1.A.1.b.6	Information Ordering	4.A.4.c.3	Monitoring and Controlling Resources
1.A.1.b.7	Category Flexibility	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.b.7	Category Flexibility	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.b.7	Category Flexibility	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.b.7	Category Flexibility	4.A.2.a.1	Judging the Qualities of Things, Services, or People
1.A.1.b.7	Category Flexibility	4.A.2.a.2	Processing Information
1.A.1.b.7	Category Flexibility	4.A.2.a.4	Analyzing Data or Information
1.A.1.b.7	Category Flexibility	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.b.7	Category Flexibility	4.A.2.b.2	Thinking Creatively
1.A.1.b.7	Category Flexibility	4.A.2.b.4	Developing Objectives and Strategies
1.A.1.b.7	Category Flexibility	4.A.2.b.5	Scheduling Work and Activities
1.A.1.b.7	Category Flexibility	4.A.2.b.6	Organizing, Planning, and Prioritizing Work
1.A.1.b.7	Category Flexibility	4.A.3.b.6	Documenting/Recording Information
1.A.1.b.7	Category Flexibility	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.A.1.b.7	Category Flexibility	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.b.7	Category Flexibility	4.A.4.b.1	Coordinating the Work and Activities of Others
1.A.1.b.7	Category Flexibility	4.A.4.b.3	Training and Teaching Others
1.A.1.b.7	Category Flexibility	4.A.4.b.6	Provide Consultation and Advice to Others
1.A.1.b.7	Category Flexibility	4.A.4.c.1	Performing Administrative Activities
1.A.1.b.7	Category Flexibility	4.A.4.c.2	Staffing Organizational Units
1.A.1.c.1	Mathematical Reasoning	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.c.1	Mathematical Reasoning	4.A.2.a.2	Processing Information
1.A.1.c.2	Number Facility	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.c.2	Number Facility	4.A.2.a.2	Processing Information
1.A.1.c.2	Number Facility	4.A.4.c.3	Monitoring and Controlling Resources
1.A.1.d.1	Memorization	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.d.1	Memorization	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.d.1	Memorization	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.1.d.1	Memorization	4.A.4.b.3	Training and Teaching Others
1.A.1.e.1	Speed of Closure	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.e.1	Speed of Closure	4.A.4.a.6	Selling or Influencing Others
1.A.1.e.1	Speed of Closure	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.A.1.e.2	Flexibility of Closure	4.A.1.a.1	Getting Information
1.A.1.e.2	Flexibility of Closure	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.e.2	Flexibility of Closure	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.e.2	Flexibility of Closure	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.e.2	Flexibility of Closure	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.e.2	Flexibility of Closure	4.A.2.a.2	Processing Information
1.A.1.e.2	Flexibility of Closure	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.e.3	Perceptual Speed	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.e.3	Perceptual Speed	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.e.3	Perceptual Speed	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.e.3	Perceptual Speed	4.A.2.a.2	Processing Information
1.A.1.e.3	Perceptual Speed	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.1.e.3	Perceptual Speed	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.e.3	Perceptual Speed	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.f.1	Spatial Orientation	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.1.f.2	Visualization	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.1.f.2	Visualization	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.1.f.2	Visualization	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.1.f.2	Visualization	4.A.2.b.2	Thinking Creatively
1.A.1.f.2	Visualization	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.1.f.2	Visualization	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment
1.A.1.f.2	Visualization	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.1.f.2	Visualization	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.1.g.1	Selective Attention	4.A.1.a.1	Getting Information
1.A.1.g.1	Selective Attention	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.g.1	Selective Attention	4.A.2.a.4	Analyzing Data or Information
1.A.1.g.1	Selective Attention	4.A.2.b.1	Making Decisions and Solving Problems
1.A.1.g.1	Selective Attention	4.A.2.b.2	Thinking Creatively
1.A.1.g.1	Selective Attention	4.A.3.b.1	Interacting With Computers
1.A.1.g.1	Selective Attention	4.A.3.b.6	Documenting/Recording Information
1.A.1.g.1	Selective Attention	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.1.g.1	Selective Attention	4.A.4.b.3	Training and Teaching Others
1.A.1.g.2	Time Sharing	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.1.g.2	Time Sharing	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.1.g.2	Time Sharing	4.A.4.a.8	Performing for or Working Directly with the Public
1.A.2.a.1	Arm-Hand Steadiness	4.A.3.a.2	Handling and Moving Objects
1.A.2.a.1	Arm-Hand Steadiness	4.A.3.a.3	Controlling Machines and Processes
1.A.2.a.1	Arm-Hand Steadiness	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.2.a.1	Arm-Hand Steadiness	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.2.a.1	Arm-Hand Steadiness	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.2.a.2	Manual Dexterity	4.A.3.a.2	Handling and Moving Objects
1.A.2.a.2	Manual Dexterity	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.2.a.2	Manual Dexterity	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.2.a.3	Finger Dexterity	4.A.3.a.2	Handling and Moving Objects
1.A.2.a.3	Finger Dexterity	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.2.a.3	Finger Dexterity	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.2.b.1	Control Precision	4.A.3.a.3	Controlling Machines and Processes
1.A.2.b.1	Control Precision	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.2.b.1	Control Precision	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.2.b.1	Control Precision	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.2.b.2	Multilimb Coordination	4.A.3.a.1	Performing General Physical Activities
1.A.2.b.2	Multilimb Coordination	4.A.3.a.2	Handling and Moving Objects
1.A.2.b.2	Multilimb Coordination	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.2.b.3	Response Orientation	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.2.b.4	Rate Control	4.A.3.a.3	Controlling Machines and Processes
1.A.2.b.4	Rate Control	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.2.c.1	Reaction Time	4.A.3.a.3	Controlling Machines and Processes
1.A.2.c.1	Reaction Time	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.2.c.2	Wrist-Finger Speed	4.A.3.b.6	Documenting/Recording Information
1.A.3.a.1	Static Strength	4.A.3.a.1	Performing General Physical Activities
1.A.3.a.1	Static Strength	4.A.3.a.2	Handling and Moving Objects
1.A.3.a.2	Explosive Strength	4.A.3.a.1	Performing General Physical Activities
1.A.3.a.2	Explosive Strength	4.A.3.a.2	Handling and Moving Objects
1.A.3.a.3	Dynamic Strength	4.A.3.a.1	Performing General Physical Activities
1.A.3.a.4	Trunk Strength	4.A.3.a.1	Performing General Physical Activities
1.A.3.a.4	Trunk Strength	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
1.A.3.b.1	Stamina	4.A.3.a.1	Performing General Physical Activities
1.A.3.c.1	Extent Flexibility	4.A.3.a.1	Performing General Physical Activities
1.A.3.c.1	Extent Flexibility	4.A.3.a.2	Handling and Moving Objects
1.A.3.c.1	Extent Flexibility	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.A.3.c.1	Extent Flexibility	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.A.3.c.3	Gross Body Coordination	4.A.3.a.1	Performing General Physical Activities
1.A.3.c.4	Gross Body Equilibrium	4.A.3.a.1	Performing General Physical Activities
1.A.4.a.1	Near Vision	4.A.1.a.1	Getting Information
1.A.4.a.1	Near Vision	4.A.1.a.2	Monitor Processes, Materials, or Surroundings
1.A.4.a.1	Near Vision	4.A.1.b.1	Identifying Objects, Actions, and Events
1.A.4.a.1	Near Vision	4.A.1.b.2	Inspecting Equipment, Structures, or Material
1.A.4.a.1	Near Vision	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information
1.A.4.a.1	Near Vision	4.A.2.a.1	Judging the Qualities of Things, Services, or People
1.A.4.a.1	Near Vision	4.A.2.a.2	Processing Information
1.A.4.a.1	Near Vision	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards
1.A.4.a.1	Near Vision	4.A.3.a.3	Controlling Machines and Processes
1.A.4.a.1	Near Vision	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment
