id,CompetencyTitle,Notation,CompetencyDefinition
9100,Entomology,,"Knowledge of the concepts, principles, and theories of insects, including taxonomy, morphology, behavior, life cycles, population dynamics, host-insect interactions, the role of insects in natural and managed ecosystems, and the regulation, prevention, and control of pest-related problems."
9101,Entrepreneurship,,Positions the organization for future success by identifying new opportunities; builds the organization by developing or improving products or services. Takes calculated risks to accomplish organizational objectives.
9102,Environmental Engineering,,"Knowledge of the concepts, principles, theories, and methods to protect and improve the quality of the environment and its resources; and to monitor, control, abate, and prevent pollutants."
9103,External Awareness (*),(*),"Identifies and understands economic, political, and social trends that affect the organization."
9104,External Awareness (‡),(‡),"Understands and keeps up-to-date on local, national, and international policies and trends that affect the organization and shape stakeholders' views; is aware of the organization's impact on the external environment."
9105,Eye-Hand Coordination,,"Accurately coordinates one's eyes with one's fingers, wrists, or arms to perform job-related tasks (for example, to move, carry, or manipulate objects)."
9106,Facilities,,"Knowledge of the physical, engineering, and experimental equipment and operational characteristics of facilities, and safety and equipment development designed to support aerospace activities."
9107,Federal Funds Processing,,"Knowledge of methods and procedures for processing direct and reimbursable program funds (for example, automatic and funded reimbursements, interagency agreements, transfer appropriations), grants, loans, and credit programs."
9108,Financial Analysis,,"Knowledge of the principles, methods, and techniques of financial analysis, forecasting, and modeling to interpret quantitative and qualitative data; includes data modeling, earned value management, and evaluating key financial indicators, trends, and historical data."
9109,Financial Assistance Mechanisms,,"Knowledge of the differences between acquisition and financial assistance purposes and requirements; knowledge of Federal assistance instruments, techniques, and procedures for grants (for example, block, mandatory, discretionary) and agreements (for example, cooperative, interagency)."
9110,Financial Management (*),(*),"Prepares, justifies, and/or administers the budget for program areas; plans, administers, and monitors expenditures to ensure cost-effective support of programs and policies; assesses financial condition of an organization."
9111,Financial Management (‡),(‡),"Understands the organization's financial processes. Prepares, justifies, and administers the program budget.  Oversees procurement and contracting to achieve desired results.   Monitors expenditures and uses cost-benefit thinking to set priorities."
9112,Financial Systems,,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls."
9113,Fine Arts,,"Knowledge of theory and techniques required to produce, compose, and perform works of music, dance, visual arts, drama, and sculpture."
9114,Fire Management,,"Knowledge of the concepts, principles, and theories of fire management, including the characteristics, behavior, and ecology of fire; methodologies, strategies, and equipment used in prescribed fires; fire detection, prevention, and suppression strategies; and integration of fire with natural resource management."
9115,Firearms,,"Knowledge of firearm usage and related issues, such as ammunition, range regulations and safety and use of force policies."
9116,First Response,,"Knowledge of emergency management methods, such as first aid, rescue techniques, and threat assessments."
9117,Fishery Biology,,"Knowledge of the concepts, principles, and theories of aquatic life, including classification, taxonomy, population dynamics, distribution, habitat requirements, life histories, reproduction, behaviors, conservation, and care of aquatic species."
9118,Flexibility (*),(*),"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity."
9119,Flexibility (†),(†),"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with uncertainty."
9120,Flexibility (‡),(‡),"Is open to change and new information; rapidly adapts to new information, changing conditions, or unexpected obstacles."
9121,Flight Systems,,"Knowledge of the concepts, principles, and theories related to the development, design, test, and evaluation of aerospace flight vehicles and their component subsystems, or their related external systems."
9122,Fluid Dynamics and Mechanics,,"Knowledge of the concepts, principles, and theories of computational fluid dynamics, fluid mechanics, flight dynamics, flight structures, the force and motion mechanics of vehicles in various atmospheric and celestial environments, aerothermodynamics, and the characteristics of electrically conducting fluids under the action of magnetic and electric fields."
9123,Food Production,,"Knowledge of planning, growing, and harvesting of food for consumption using appropriate equipment and techniques."
9124,Food Service,,Knowledge of preparing and serving food for consumption.
9125,Foreign Language,,"Knowledge of sign language or of the structure and content of a foreign (non-English) language, including the meaning and spelling of words, rules of composition, and grammar."
9126,Forensics,,"Knowledge of procedures of civil, criminal, or administrative hearings, evidence collection, including the delivery and receipt of evidence, classes of evidence, and rules of evidence and legal procedures."
9127,Forest Management,,"Knowledge of the concepts, principles, and theories of silviculture and forest ecology, forest use, management, harvesting, conducting inventories, regeneration, sustainability, and conservation; and the role of disturbances in timberland resources."
9128,General Engineering,,"Knowledge of the concepts, principles, and theories of engineering and their practical applications."
9129,Genetics,,"Knowledge of the concepts, principles, and theories of genetics, including the biochemistry of DNA, gene interaction, gene expression, gene inheritance, population genetics, adaptation, and evolution."
9130,Geography,,"Knowledge of geographical locations, their relationships and characteristics."
9131,Geographical Sciences,,"Knowledge of the concepts, principles, theories, and methods for describing the location and distribution of land, sea, and air masses, including their physical locations, relationships, characteristics, and what the land supports."
9132,Geology,,"Knowledge of the concepts, principles, and theories of the origins and structure of the earth, including the physical forces that have shaped it and its physical and organic history."
9133,Geophysics,,"Knowledge of the concepts, principles, and theories related to solid earth structure, global seismic patterns, lithosphere, atmosphere, and the behavior of the earth’s gravitational, magnetic, and electrical fields, and other forces affecting the earth and its environment."
9134,Geotechnical Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the investigation and evaluation of subsurface soil or geologic conditions and properties for the purpose of designing stable foundation systems, earthen structures, or the remediation of subsurface conditions."
9135,Grants Management,,"Knowledge of requirements, practices, and procedures for soliciting, receiving, reviewing, and processing proposals, and awarding and administering grants and agreements."
9136,"Grants Management Laws, Regulations, and Guidelines",,"Knowledge of principles, laws, regulations, policies, practices, and guidelines (for example, Executive Orders, Code of Federal Regulations, OMB circulars) of grant or agreement programs, including their order of precedence."
9137,Hardware,,"Knowledge of specifications, uses, and types of computer or computer-related equipment."
9138,Hardware Engineering,,"Knowledge of the principles, methods, and tools for designing, developing, and testing computer or computer-related equipment."
9139,Hazardous Materials,,"Knowledge of hazardous materials and waste and their uses, interactions, dangers, production, handling, storage, and disposal."
9140,Health Physics,,"Knowledge of the concepts, principles, theories, and methods pertaining to the protection of people, their environment, and equipment from hazards (for example, radiation or hazardous chemicals) and the control of radioactive material."
9141,History and Archeology,,"Knowledge of historical events and their causes, indicators, and impact on particular civilization and cultures, and of preservation and archival techniques."
9142,Horticulture,,"Knowledge of cultivating flowers, plants, and trees."
9143,Horticultural Sciences,,"Knowledge of the concepts, principles, theories, and practices of cultivation or crop management, physiological processes in plant growth and crop yield."
9144,HR Information Systems,,"Knowledge of HR management concepts, principles, and practices related to identifying and analyzing HR processes, translating functional requirements into technical requirements, and delivering and maintaining HR information systems."
9145,Human Capital Management,,"Builds and manages workforce based on organizational goals, budget considerations, and staffing needs. Ensures that employees are appropriately recruited, selected, appraised, and rewarded; takes action to address performance problems. Manages a multi-sector workforce and a variety of work situations."
9146,Human Factors,,"Knowledge of the principles, methods, and tools used to identify and apply information about human behavior, abilities, limitations, and other characteristics to the design of tools, machines, systems, tasks, jobs, and environments for effective human use."
9147,Hydraulic Engineering,,"Knowledge of the concepts, principles, theories, and methods applicable to analysis of the flow of fluids (open channel and pressure flow), estimation of river stages, and design of hydraulic structures, drainage structures, pipes, navigation facilities, reservoirs, locks, and dams."
9148,Hydrology,,"Knowledge of the concepts, principles, theories, and methods related to the magnitude, distribution, and quality of water resources including watershed management, climatology, geomorphology, groundwater hydrology, water quality, water resource management, and groundwater/surface water interactions."
9149,Identity Management,,"Knowledge of methods and controls to validate the identity of individuals to verify access approval and level, and monitor activity to ensure that only authorized access is taking place."
9150,Incident Management,,"Knowledge of the tactics, technologies, principles, and processes to protect, analyze, prioritize, and handle incidents."
9151,Industrial Equipment Operation,,Knowledge of principles and methods for operating industrial equipment.
9152,Influencing/Negotiating (*),(*),"Persuades others to accept recommendations, cooperate, or change their behavior; works with others towards an agreement; negotiates to find mutually acceptable solutions."
9153,Influencing/Negotiating (‡),(‡),Persuades others; builds consensus through give and take; gains cooperation from others to obtain information and accomplish goals.
9154,Information Assurance,,"Knowledge of methods and procedures to protect information systems and data by ensuring their availability, authentication, confidentiality, and integrity."
9155,Information Management,,Identifies a need for and knows where or how to gather information; organizes and maintains information or information management systems.
9156,Information Resources Strategy and Planning,,"Knowledge of the principles, methods, and techniques of information technology (IT) assessment, planning, management, monitoring, and evaluation, such as IT baseline assessment, interagency functional analysis, contingency planning, and disaster recovery."
9157,Information Systems Security Certification,,"Knowledge of the principles, methods, and tools for evaluating information systems security features against a set of specified security requirements. Includes developing security certification and accreditation plans and procedures, documenting deficiencies, reporting corrective actions, and recommending changes to improve the security of information systems."
9158,Information Systems/Network Security,,"Knowledge of methods, tools, and procedures, including development of information security plans, to prevent information systems vulnerabilities, and provide or restore security of information systems and network services."
9159,Information Technology Architecture,,"Knowledge of architectural methodologies used in the design and development of information systems, including the physical structure of a system's internal operations and interactions with other systems."
9160,Information Technology Performance Assessment,,"Knowledge of the principles, methods, and tools (for example, surveys, system performance measures) to assess the effectiveness and practicality of information technology systems."
9161,Information Technology Program Management,,"Knowledge of the principles, methods, and tools for the coordinated management of an IT program to include providing oversight of multiple IT projects, integrating dependent schedules and deliverables, and related activities (for example, benefits management, life cycle management, program governance)."
9162,Information Technology Research and Development,,"Knowledge of scientific principles, methods, and tools of basic and applied research used to conduct a systematic inquiry into a subject matter area."
9163,Infrastructure Design,,"Knowledge of the architecture and typology of software, hardware, and networks, including LANS, WANS, and telecommunications systems, their components and associated protocols and standards, and how they operate and integrate with one another and with associated controlling software."
9164,Insurance,,"Knowledge of various types of insurance, insurance regulations, claims processing, examination, adjudication, or adjustment."
9165,Integrity/Honesty (*),(*),"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy."
9166,Integrity/Honesty (‡),(‡),"Behaves in an honest, fair, and ethical manner. Shows consistency in words and actions. Models high standards of ethics."
9167,Internal Controls,,"Knowledge of the principles, methods, and techniques for establishing internal control activities (for example, authorizations, verifications, reconciliations), monitoring their use, and evaluating their performance (for example, identification of material weaknesses or significant deficiencies)."
9168,Interpersonal Skills (*),(*),"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences."
9169,Interpersonal Skills (‡),(‡),"Treats others with courtesy, sensitivity, and respect.  Considers and responds appropriately to the needs and feelings of different people in different situations."
9170,IT Modeling and Simulation,,"Knowledge of mathematical modeling and simulation tools and techniques to plan and conduct test and evaluation programs, characterize systems support decisions involving requirements, evaluate design alternatives, or support operational preparation."
9171,Knowledge Management,,Knowledge of the value of collected information and the methods of sharing that information throughout an organization.
9172,Labor Law,,"Knowledge of state and Federal employment laws, regulations, guidelines, and legal precedents related to hiring practices, equal employment opportunity, and wage and hour restrictions."
9173,Labor Relations,,"Knowledge of laws, rules, regulations, case law, principles, and practices related to negotiating and administering labor agreements."
9174,Landscape Architecture,,"Knowledge of the concepts, theories, and practices used in the planning, designing, construction, and adaptation of outdoor features, taking into consideration recreation planning, requirements, aesthetic value, and compatibility with other developments and resources."
9175,Leadership,,"Influences, motivates, and challenges others; adapts leadership styles to a variety of situations."
9176,Learning,,"Uses efficient learning techniques to acquire and apply new knowledge and skills; uses training, feedback, or other opportunities for self-learning and development."
9177,"Legal, Government, and Jurisprudence",,"Knowledge of laws, legal codes, court procedures, precedents, legal practices and documents, Government regulations, Executive orders, agency rules, Government organization and functions, and the democratic political process."
9178,Leveraging Diversity,,Fosters an inclusive workplace where diversity and individual differences are valued and leveraged to achieve the vision and mission of the organization.
9179,Life Sciences and Systems,,Knowledge of life sciences that involve the theoretical and experimental research of life systems.
9180,Listening,,"Receives, attends to, interprets, and responds to verbal messages and other cues such as body language in ways that are appropriate to listeners and situations."
9181,Logical Systems Design,,"Knowledge of the principles and methods for designing business logic components, system processes and outputs, user interfaces, data inputs, and productivity tools (for example, computer-aided software engineering)."
9182,Manages and Organizes Information,,"Identifies a need; gathers, organizes, and maintains information; determines its importance and accuracy, and communicates it by a variety of methods."
9183,Manages Human Resources,,"Plans, distributes, and monitors work assignments; evaluates work performance and provides feedback to others on their performance."
9184,Manages Resources,,"Selects, acquires, stores, and distributes resources such as materials, equipment, or money."
9185,Managing Human Resources,,"Plans, distributes, coordinates, and monitors work assignments of others; evaluates work performance and provides feedback to others on their performance; ensures that staff are appropriately selected, utilized, and developed, and that they are treated in a fair and equitable manner."
9186,Manufacturing,,"Knowledge of the specifications, tools, inputs, raw materials, outputs, and waste related to the manufacture of prototypes, models, systems, or other products."
9187,Materials Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the composition, structures, and properties of materials, their use, behavior and performance under environmental influences, and the identification, processing, and manufacture of optimal materials for various applications."
9188,Mathematical Reasoning,,Solves practical problems by choosing appropriately from a variety of mathematical and statistical techniques.
9189,Measurement and Instrumentation,,"Knowledge of electronics and related electrical engineering disciplines necessary for the research and development of sensors, electronic measurement devices, and instrumentation systems for aerospace systems and components."
9190,Mechanical (*),(*),"Knowledge of machines and tools, including their designs, uses, benefits, repair, and maintenance."
9191,Mechanical (†),(†),"Knowledge of machines and tools, including their designs, installation, uses, repair, and maintenance."
9192,Mechanical Engineering,,"Knowledge of the concepts, principles, theories, and methods related to planning, designing, developing, testing, or evaluating thermodynamic, mechanical, electro-mechanical, pneumatic, hydraulic, or structural equipment, systems, models, tools, or specialized mechanical devices."
9193,Mechanics,,"Knowledge of machines and tools, including their design, use, benefits, repair, operation, and maintenance."
9194,Medicine and Dentistry,,"Knowledge of the diagnosis and treatment of injuries, diseases, and deformities, including preventive health-care measures."
9195,Memory,,Recalls information that has been presented previously.
9196,Mental Visualization,,"Sees things in the mind by mentally organizing and processing symbols, pictures, graphs, objects, or other information (for example, sees a building from a blueprint, or sees the flow of work activities from reading a work plan)."
9197,Metal Processing and Metalworking,,"Knowledge of materials, methods, and appropriate tools to process, treat, form, or shape metal."
9198,Metallurgy,,"Knowledge of the concepts, principles, and theories related to the study of extracting, refining, alloying, and preparing metals for use; and their properties and behavior as affected by the composition, treatment in manufacture, and conditions of use."
9199,Mine Safety and Health,,"Knowledge of mine safety and health principles and practices, techniques and procedures, regulations, and standards as they apply to conducting inspections/investigations, identifying and evaluating unsafe conditions, and recommending methods to correct unsafe conditions."
9200,Mining Engineering,,"Knowledge of the concepts, principles, theories, and methods related to rock mechanics; the exploration, excavation, extraction, processing and transporting of mineral resources; and the conservation and development of mineral lands, materials, and deposits."
9201,Modeling and Simulation,,"Knowledge of the tools and techniques used to develop functional, physical, or prototype models and simulations for test and evaluation programs, the prediction of behavior and phenomena, and to visually communicate concepts."
9202,Multimedia Technologies,,"Knowledge of the principles, methods, tools, and techniques to develop or apply technology using text, audio, graphics, or other media."
9203,Negotiation,,Works with others towards an agreement that may involve exchanging specific resources or resolving differences.
9204,Network Management,,"Knowledge of the operation, management, and maintenance of network and telecommunication systems and linked systems and peripherals."
9205,Nuclear Engineering,,"Knowledge of the concepts, principles, theories, and application of nuclear technologies including research, development, construction, operation, testing, and maintenance of nuclear reactors, radiation generating devices, and associated systems and equipment."
9206,Nuclear Physics,,"Knowledge of the concepts, principles, theories, and methods related to the prediction of nuclear interactions and reactions, including practices and methods used to produce, measure, use, or observe such reactions in stars, nuclear weapons systems, and radiation shielding."
