O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-2031.00	1.C.4.c	Adaptability/Flexibility	IM	4.50	30	0.19	4.10	4.90	N	07/2017	Incumbent
11-2031.00	1.C.5.a	Dependability	IM	4.65	30	0.13	4.39	4.91	N	07/2017	Incumbent
11-2031.00	1.C.5.b	Attention to Detail	IM	4.56	30	0.15	4.26	4.86	N	07/2017	Incumbent
11-2031.00	1.C.5.c	Integrity	IM	4.93	30	0.05	4.84	5.00	N	07/2017	Incumbent
11-2031.00	1.C.6	Independence	IM	4.17	30	0.22	3.73	4.61	N	07/2017	Incumbent
11-2031.00	1.C.7.a	Innovation	IM	3.68	30	0.13	3.42	3.94	N	07/2017	Incumbent
11-2031.00	1.C.7.b	Analytical Thinking	IM	3.79	30	0.21	3.37	4.22	N	07/2017	Incumbent
11-3011.00	1.C.1.a	Achievement/Effort	IM	3.97	45	0.09	3.80	4.14	N	07/2017	Incumbent
11-3011.00	1.C.1.b	Persistence	IM	3.98	45	0.13	3.71	4.25	N	07/2017	Incumbent
11-3011.00	1.C.1.c	Initiative	IM	4.24	44	0.09	4.07	4.41	N	07/2017	Incumbent
11-3011.00	1.C.2.b	Leadership	IM	3.95	45	0.23	3.48	4.42	N	07/2017	Incumbent
11-3011.00	1.C.3.a	Cooperation	IM	4.30	45	0.09	4.11	4.48	N	07/2017	Incumbent
11-3011.00	1.C.3.b	Concern for Others	IM	4.03	45	0.23	3.57	4.50	N	07/2017	Incumbent
11-3011.00	1.C.3.c	Social Orientation	IM	3.65	45	0.17	3.31	4.00	N	07/2017	Incumbent
11-3011.00	1.C.4.a	Self Control	IM	4.53	44	0.13	4.28	4.78	N	07/2017	Incumbent
11-3011.00	1.C.4.b	Stress Tolerance	IM	4.44	45	0.14	4.15	4.73	N	07/2017	Incumbent
11-3011.00	1.C.4.c	Adaptability/Flexibility	IM	4.19	45	0.09	4.02	4.37	N	07/2017	Incumbent
11-3011.00	1.C.5.a	Dependability	IM	4.69	45	0.09	4.50	4.88	N	07/2017	Incumbent
11-3011.00	1.C.5.b	Attention to Detail	IM	4.34	45	0.12	4.11	4.57	N	07/2017	Incumbent
11-3011.00	1.C.5.c	Integrity	IM	4.73	45	0.09	4.54	4.92	N	07/2017	Incumbent
11-3011.00	1.C.6	Independence	IM	4.11	45	0.11	3.89	4.34	N	07/2017	Incumbent
11-3011.00	1.C.7.a	Innovation	IM	3.85	45	0.09	3.66	4.04	N	07/2017	Incumbent
11-3011.00	1.C.7.b	Analytical Thinking	IM	4.04	45	0.12	3.80	4.28	N	07/2017	Incumbent
11-3021.00	1.C.1.a	Achievement/Effort	IM	3.91	26	0.22	3.45	4.37	N	07/2016	Incumbent
11-3021.00	1.C.1.b	Persistence	IM	4.03	26	0.17	3.67	4.38	N	07/2016	Incumbent
11-3021.00	1.C.1.c	Initiative	IM	4.36	26	0.15	4.05	4.67	N	07/2016	Incumbent
11-3021.00	1.C.2.b	Leadership	IM	4.15	26	0.29	3.57	4.74	N	07/2016	Incumbent
11-3021.00	1.C.3.a	Cooperation	IM	4.33	26	0.18	3.95	4.71	N	07/2016	Incumbent
11-3021.00	1.C.3.b	Concern for Others	IM	3.71	26	0.36	2.98	4.44	N	07/2016	Incumbent
11-3021.00	1.C.3.c	Social Orientation	IM	3.69	26	0.40	2.88	4.51	N	07/2016	Incumbent
11-3021.00	1.C.4.a	Self Control	IM	4.10	26	0.17	3.75	4.46	N	07/2016	Incumbent
11-3021.00	1.C.4.b	Stress Tolerance	IM	4.16	26	0.22	3.70	4.63	N	07/2016	Incumbent
11-3021.00	1.C.4.c	Adaptability/Flexibility	IM	4.19	26	0.12	3.95	4.44	N	07/2016	Incumbent
11-3021.00	1.C.5.a	Dependability	IM	4.54	26	0.13	4.28	4.79	N	07/2016	Incumbent
11-3021.00	1.C.5.b	Attention to Detail	IM	4.67	25	0.13	4.40	4.93	N	07/2016	Incumbent
11-3021.00	1.C.5.c	Integrity	IM	4.67	26	0.13	4.39	4.94	N	07/2016	Incumbent
11-3021.00	1.C.6	Independence	IM	3.80	26	0.18	3.43	4.17	N	07/2016	Incumbent
11-3021.00	1.C.7.a	Innovation	IM	3.70	26	0.20	3.29	4.12	N	07/2016	Incumbent
11-3021.00	1.C.7.b	Analytical Thinking	IM	4.25	26	0.17	3.91	4.60	N	07/2016	Incumbent
11-3031.01	1.C.1.a	Achievement/Effort	IM	4.30	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.1.b	Persistence	IM	4.23	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.1.c	Initiative	IM	4.57	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.2.b	Leadership	IM	4.60	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.3.a	Cooperation	IM	4.03	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.3.b	Concern for Others	IM	3.23	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.3.c	Social Orientation	IM	3.23	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.4.a	Self Control	IM	4.00	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.4.b	Stress Tolerance	IM	4.20	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.4.c	Adaptability/Flexibility	IM	4.10	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.5.a	Dependability	IM	4.52	29	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.5.b	Attention to Detail	IM	4.50	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.5.c	Integrity	IM	4.90	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.6	Independence	IM	4.03	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.7.a	Innovation	IM	3.57	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.01	1.C.7.b	Analytical Thinking	IM	4.63	30	n/a	n/a	n/a	n/a	07/2012	Occupational Expert
11-3031.02	1.C.1.a	Achievement/Effort	IM	4.42	31	0.19	4.03	4.81	N	07/2014	Incumbent
11-3031.02	1.C.1.b	Persistence	IM	4.42	31	0.19	4.02	4.81	N	07/2014	Incumbent
11-3031.02	1.C.1.c	Initiative	IM	4.28	31	0.13	4.01	4.55	N	07/2014	Incumbent
11-3031.02	1.C.2.b	Leadership	IM	4.40	31	0.18	4.04	4.76	N	07/2014	Incumbent
11-3031.02	1.C.3.a	Cooperation	IM	4.19	30	0.31	3.56	4.83	N	07/2014	Incumbent
11-3031.02	1.C.3.b	Concern for Others	IM	3.71	30	0.44	2.80	4.61	N	07/2014	Incumbent
11-3031.02	1.C.3.c	Social Orientation	IM	3.62	30	0.45	2.71	4.53	N	07/2014	Incumbent
11-3031.02	1.C.4.a	Self Control	IM	4.18	30	0.19	3.80	4.56	N	07/2014	Incumbent
11-3031.02	1.C.4.b	Stress Tolerance	IM	4.23	30	0.15	3.93	4.54	N	07/2014	Incumbent
11-3031.02	1.C.4.c	Adaptability/Flexibility	IM	4.31	30	0.13	4.03	4.58	N	07/2014	Incumbent
11-3031.02	1.C.5.a	Dependability	IM	4.71	30	0.15	4.40	5.00	N	07/2014	Incumbent
11-3031.02	1.C.5.b	Attention to Detail	IM	4.64	30	0.16	4.32	4.96	N	07/2014	Incumbent
11-3031.02	1.C.5.c	Integrity	IM	4.73	31	0.14	4.44	5.00	N	07/2014	Incumbent
11-3031.02	1.C.6	Independence	IM	3.72	31	0.24	3.23	4.22	N	07/2014	Incumbent
11-3031.02	1.C.7.a	Innovation	IM	3.33	31	0.23	2.86	3.81	N	07/2014	Incumbent
11-3031.02	1.C.7.b	Analytical Thinking	IM	3.87	31	0.23	3.40	4.34	N	07/2014	Incumbent
11-3051.00	1.C.1.a	Achievement/Effort	IM	4.19	38	0.16	3.87	4.52	N	07/2013	Incumbent
11-3051.00	1.C.1.b	Persistence	IM	4.20	38	0.11	3.97	4.43	N	07/2013	Incumbent
11-3051.00	1.C.1.c	Initiative	IM	4.34	38	0.11	4.12	4.56	N	07/2013	Incumbent
11-3051.00	1.C.2.b	Leadership	IM	4.78	38	0.07	4.63	4.93	N	07/2013	Incumbent
11-3051.00	1.C.3.a	Cooperation	IM	4.39	38	0.14	4.10	4.67	N	07/2013	Incumbent
11-3051.00	1.C.3.b	Concern for Others	IM	3.85	38	0.20	3.46	4.25	N	07/2013	Incumbent
11-3051.00	1.C.3.c	Social Orientation	IM	4.04	38	0.14	3.76	4.32	N	07/2013	Incumbent
11-3051.00	1.C.4.a	Self Control	IM	4.34	38	0.17	4.00	4.67	N	07/2013	Incumbent
11-3051.00	1.C.4.b	Stress Tolerance	IM	4.54	38	0.13	4.28	4.79	N	07/2013	Incumbent
11-3051.00	1.C.4.c	Adaptability/Flexibility	IM	4.39	38	0.11	4.16	4.62	N	07/2013	Incumbent
11-3051.00	1.C.5.a	Dependability	IM	4.71	38	0.09	4.52	4.89	N	07/2013	Incumbent
11-3051.00	1.C.5.b	Attention to Detail	IM	4.50	38	0.13	4.24	4.76	N	07/2013	Incumbent
11-3051.00	1.C.5.c	Integrity	IM	4.59	38	0.13	4.33	4.86	N	07/2013	Incumbent
11-3051.00	1.C.6	Independence	IM	4.00	38	0.19	3.62	4.37	N	07/2013	Incumbent
11-3051.00	1.C.7.a	Innovation	IM	3.85	38	0.14	3.57	4.13	N	07/2013	Incumbent
11-3051.00	1.C.7.b	Analytical Thinking	IM	4.12	38	0.13	3.85	4.39	N	07/2013	Incumbent
11-3051.01	1.C.1.a	Achievement/Effort	IM	4.05	17	0.16	3.71	4.39	N	07/2012	Incumbent
11-3051.01	1.C.1.b	Persistence	IM	4.08	17	0.21	3.63	4.53	N	07/2012	Incumbent
11-3051.01	1.C.1.c	Initiative	IM	4.30	17	0.22	3.84	4.77	N	07/2012	Incumbent
11-3051.01	1.C.2.b	Leadership	IM	4.20	17	0.33	3.50	4.90	N	07/2012	Incumbent
11-3051.01	1.C.3.a	Cooperation	IM	4.08	17	0.19	3.67	4.49	N	07/2012	Incumbent
11-3051.01	1.C.3.b	Concern for Others	IM	3.64	17	0.21	3.20	4.07	N	07/2012	Incumbent
11-3051.01	1.C.3.c	Social Orientation	IM	3.44	17	0.30	2.80	4.09	N	07/2012	Incumbent
11-3051.01	1.C.4.a	Self Control	IM	4.08	17	0.23	3.59	4.57	N	07/2012	Incumbent
11-3051.01	1.C.4.b	Stress Tolerance	IM	4.58	17	0.21	4.14	5.00	N	07/2012	Incumbent
11-3051.01	1.C.4.c	Adaptability/Flexibility	IM	4.02	17	0.23	3.52	4.51	N	07/2012	Incumbent
11-3051.01	1.C.5.a	Dependability	IM	4.63	17	0.21	4.18	5.00	N	07/2012	Incumbent
11-3051.01	1.C.5.b	Attention to Detail	IM	4.74	17	0.14	4.45	5.00	N	07/2012	Incumbent
11-3051.01	1.C.5.c	Integrity	IM	4.56	17	0.17	4.20	4.92	N	07/2012	Incumbent
11-3051.01	1.C.6	Independence	IM	4.11	17	0.25	3.58	4.65	N	07/2012	Incumbent
11-3051.01	1.C.7.a	Innovation	IM	3.84	17	0.27	3.27	4.40	N	07/2012	Incumbent
11-3051.01	1.C.7.b	Analytical Thinking	IM	4.64	17	0.16	4.29	4.99	N	07/2012	Incumbent
11-3051.02	1.C.1.a	Achievement/Effort	IM	4.14	21	0.10	3.92	4.35	N	07/2011	Incumbent
11-3051.02	1.C.1.b	Persistence	IM	3.95	21	0.12	3.71	4.19	N	07/2011	Incumbent
11-3051.02	1.C.1.c	Initiative	IM	4.21	21	0.16	3.88	4.53	N	07/2011	Incumbent
11-3051.02	1.C.2.b	Leadership	IM	4.48	21	0.11	4.24	4.71	N	07/2011	Incumbent
11-3051.02	1.C.3.a	Cooperation	IM	4.29	21	0.12	4.05	4.54	N	07/2011	Incumbent
11-3051.02	1.C.3.b	Concern for Others	IM	4.06	21	0.15	3.75	4.37	N	07/2011	Incumbent
11-3051.02	1.C.3.c	Social Orientation	IM	3.81	21	0.19	3.42	4.20	N	07/2011	Incumbent
11-3051.02	1.C.4.a	Self Control	IM	4.15	20	0.12	3.90	4.40	N	07/2011	Incumbent
11-3051.02	1.C.4.b	Stress Tolerance	IM	4.38	21	0.11	4.15	4.61	N	07/2011	Incumbent
11-3051.02	1.C.4.c	Adaptability/Flexibility	IM	4.13	21	0.12	3.89	4.38	N	07/2011	Incumbent
11-3051.02	1.C.5.a	Dependability	IM	4.46	21	0.11	4.22	4.69	N	07/2011	Incumbent
11-3051.02	1.C.5.b	Attention to Detail	IM	4.41	21	0.16	4.07	4.75	N	07/2011	Incumbent
11-3051.02	1.C.5.c	Integrity	IM	4.57	21	0.08	4.40	4.73	N	07/2011	Incumbent
11-3051.02	1.C.6	Independence	IM	3.80	21	0.24	3.30	4.30	N	07/2011	Incumbent
11-3051.02	1.C.7.a	Innovation	IM	4.35	21	0.16	4.02	4.68	N	07/2011	Incumbent
11-3051.02	1.C.7.b	Analytical Thinking	IM	4.41	21	0.15	4.09	4.73	N	07/2011	Incumbent
11-3051.03	1.C.1.a	Achievement/Effort	IM	3.82	23	0.17	3.46	4.18	N	07/2016	Incumbent
11-3051.03	1.C.1.b	Persistence	IM	4.00	23	0.19	3.60	4.39	N	07/2016	Incumbent
11-3051.03	1.C.1.c	Initiative	IM	4.37	23	0.16	4.03	4.71	N	07/2016	Incumbent
11-3051.03	1.C.2.b	Leadership	IM	4.46	23	0.15	4.16	4.77	N	07/2016	Incumbent
11-3051.03	1.C.3.a	Cooperation	IM	4.15	23	0.13	3.87	4.43	N	07/2016	Incumbent
11-3051.03	1.C.3.b	Concern for Others	IM	3.66	23	0.20	3.24	4.07	N	07/2016	Incumbent
11-3051.03	1.C.3.c	Social Orientation	IM	3.28	23	0.24	2.79	3.77	N	07/2016	Incumbent
11-3051.03	1.C.4.a	Self Control	IM	4.06	23	0.13	3.78	4.34	N	07/2016	Incumbent
11-3051.03	1.C.4.b	Stress Tolerance	IM	4.09	23	0.21	3.64	4.53	N	07/2016	Incumbent
11-3051.03	1.C.4.c	Adaptability/Flexibility	IM	4.16	23	0.16	3.83	4.50	N	07/2016	Incumbent
11-3051.03	1.C.5.a	Dependability	IM	4.67	23	0.10	4.47	4.88	N	07/2016	Incumbent
11-3051.03	1.C.5.b	Attention to Detail	IM	4.52	23	0.15	4.21	4.84	N	07/2016	Incumbent
11-3051.03	1.C.5.c	Integrity	IM	4.32	23	0.17	3.97	4.68	N	07/2016	Incumbent
11-3051.03	1.C.6	Independence	IM	3.83	23	0.21	3.38	4.27	N	07/2016	Incumbent
11-3051.03	1.C.7.a	Innovation	IM	4.06	23	0.20	3.65	4.47	N	07/2016	Incumbent
11-3051.03	1.C.7.b	Analytical Thinking	IM	4.29	23	0.19	3.90	4.68	N	07/2016	Incumbent
11-3051.04	1.C.1.a	Achievement/Effort	IM	4.49	49	0.21	4.08	4.91	N	07/2012	Incumbent
11-3051.04	1.C.1.b	Persistence	IM	4.60	49	0.15	4.29	4.90	N	07/2012	Incumbent
11-3051.04	1.C.1.c	Initiative	IM	4.41	49	0.13	4.15	4.68	N	07/2012	Incumbent
11-3051.04	1.C.2.b	Leadership	IM	4.72	49	0.13	4.45	4.98	N	07/2012	Incumbent
11-3051.04	1.C.3.a	Cooperation	IM	4.01	49	0.24	3.53	4.49	N	07/2012	Incumbent
11-3051.04	1.C.3.b	Concern for Others	IM	3.88	49	0.30	3.28	4.48	N	07/2012	Incumbent
