Element ID	Element Name	Description
1.A.2.a.3	Finger Dexterity	The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.
1.A.2.b	Control Movement Abilities	Abilities related to the control and manipulation of objects in time and space
1.A.2.b.1	Control Precision	The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.
1.A.2.b.2	Multilimb Coordination	The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.
1.A.2.b.3	Response Orientation	The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.
1.A.2.b.4	Rate Control	The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.
1.A.2.c	Reaction Time and Speed Abilities	Abilities related to speed of manipulation of objects
1.A.2.c.1	Reaction Time	The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears.
1.A.2.c.2	Wrist-Finger Speed	The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.
1.A.2.c.3	Speed of Limb Movement	The ability to quickly move the arms and legs.
1.A.3	Physical Abilities	Abilities that influence strength, endurance, flexibility, balance and coordination
1.A.3.a	Physical Strength Abilities	Abilities related to the capacity to exert force
1.A.3.a.1	Static Strength	The ability to exert maximum muscle force to lift, push, pull, or carry objects.
1.A.3.a.2	Explosive Strength	The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.
1.A.3.a.3	Dynamic Strength	The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.
1.A.3.a.4	Trunk Strength	The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without 'giving out' or fatiguing.
1.A.3.b	Endurance	The ability to exert oneself physically over long periods without getting out of breath
1.A.3.b.1	Stamina	The ability to exert yourself physically over long periods of time without getting winded or out of breath.
1.A.3.c	Flexibility, Balance, and Coordination	Abilities related to the control of gross body movements
1.A.3.c.1	Extent Flexibility	The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.
1.A.3.c.2	Dynamic Flexibility	The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.
1.A.3.c.3	Gross Body Coordination	The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.
1.A.3.c.4	Gross Body Equilibrium	The ability to keep or regain your body balance or stay upright when in an unstable position.
1.A.4	Sensory Abilities	Abilities that influence visual, auditory and speech perception
1.A.4.a	Visual Abilities	Abilities related to visual sensory input
1.A.4.a.1	Near Vision	The ability to see details at close range (within a few feet of the observer).
1.A.4.a.2	Far Vision	The ability to see details at a distance.
1.A.4.a.3	Visual Color Discrimination	The ability to match or detect differences between colors, including shades of color and brightness.
1.A.4.a.4	Night Vision	The ability to see under low light conditions.
1.A.4.a.5	Peripheral Vision	The ability to see objects or movement of objects to one's side when the eyes are looking ahead.
1.A.4.a.6	Depth Perception	The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.
1.A.4.a.7	Glare Sensitivity	The ability to see objects in the presence of glare or bright lighting.
1.A.4.b	Auditory and Speech Abilities	Abilities related to auditory and oral input
1.A.4.b.1	Hearing Sensitivity	The ability to detect or tell the differences between sounds that vary in pitch and loudness.
1.A.4.b.2	Auditory Attention	The ability to focus on a single source of sound in the presence of other distracting sounds.
1.A.4.b.3	Sound Localization	The ability to tell the direction from which a sound originated.
1.A.4.b.4	Speech Recognition	The ability to identify and understand the speech of another person.
1.A.4.b.5	Speech Clarity	The ability to speak clearly so others can understand you.
1.B	Interests	Preferences for work environments and outcomes
1.B.1	Occupational Interests	Preferences for work environments. Occupational Interest Profiles (OIPs) are compatible with Holland's (1985, 1997) model of personality types and work environments. Six interest categories are used to describe the work environment of occupations: Realistic, Investigative, Artistic, Social, Enterprising, and Conventional. An OIP consists of six numerical scores indicating how descriptive and characteristic each work environment (or interest area) is for an O*NET-SOC occupation. In addition, a high-point profile has been assigned indicating which interests are most characteristic of an O*NET-SOC occupation. A high-point profile consists of one to three interest codes, depending on how many interest categories meet a minimum degree of descriptiveness for the O*NET-SOC occupation.
1.B.1.a	Realistic	Realistic occupations frequently involve work activities that include practical, hands-on problems and solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of the occupations require working outside, and do not involve a lot of paperwork or working closely with others.
1.B.1.b	Investigative	Investigative occupations frequently involve working with ideas, and require an extensive amount of thinking. These occupations can involve searching for facts and figuring out problems mentally.
1.B.1.c	Artistic	Artistic occupations frequently involve working with forms, designs and patterns. They often require self-expression and the work can be done without following a clear set of rules.
1.B.1.d	Social	Social occupations frequently involve working with, communicating with, and teaching people. These occupations often involve helping or providing service to others.
1.B.1.e	Enterprising	Enterprising occupations frequently involve starting up and carrying out projects. These occupations can involve leading people and making many decisions. Sometimes they require risk taking and often deal with business.
1.B.1.f	Conventional	Conventional occupations frequently involve following set procedures and routines. These occupations can include working with data and details more than with ideas. Usually there is a clear line of authority to follow.
1.B.1.g	First Interest High-Point	Primary-Rank Descriptiveness
1.B.1.h	Second Interest High-Point	Secondary-Cutoff/Rank Descriptiveness
1.B.1.i	Third Interest High-Point	Tertiary-Cutoff/Rank Descriptiveness
1.B.2	Work Values	Occupational Reinforcer Patterns (ORPs) indicate which work values and needs are likely to be reinforced or satisfied by a particular O*NET-SOC occupation. The use of work values to describe occupations is based on the Theory of Work Adjustment (TWA) developed during the Work Adjustment Project at the University of Minnesota under Research Grants from the U.S. Department of Health, Education and Welfare (Dawis, R.V., England, G.W., & Lofquist, L.H., 1964; Dawis, R.V., & Lofquist, L.H., 1984). This theory proposes that job satisfaction is directly related to the degree to which a person's values and corresponding needs are satisfied by his or her work environment. The TWA identifies six work values each with a corresponding set of needs.
1.B.2.a	Achievement	Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.
1.B.2.a.1	Ability Utilization	Workers on this job make use of their individual abilities.
1.B.2.a.2	Achievement	Workers on this job get a feeling of accomplishment.
1.B.2.b	Working Conditions	Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.
1.B.2.b.1	Activity	Workers on this job are busy all the time.
1.B.2.b.2	Independence	Workers on this job do their work alone.
1.B.2.b.3	Variety	Workers on this job have something different to do every day.
1.B.2.b.4	Compensation	Workers on this job are paid well in comparison with other workers.
1.B.2.b.5	Security	Workers on this job have steady employment.
1.B.2.b.6	Working Conditions	Workers on this job have good working conditions.
1.B.2.c	Recognition	Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.
1.B.2.c.1	Advancement	Workers on this job have opportunities for advancement.
1.B.2.c.2	Recognition	Workers on this job receive recognition for the work they do.
1.B.2.c.3	Authority	Workers on this job give directions and instructions to others.
1.B.2.c.4	Social Status	Workers on this job are looked up to by others in their company and their community.
1.B.2.d	Relationships	Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.
1.B.2.d.1	Co-workers	Workers on this job have co-workers who are easy to get along with.
1.B.2.d.2	Social Service	Workers on this job have work where they do things for other people.
1.B.2.d.3	Moral Values	Workers on this job are never pressured to do things that go against their sense of right and wrong.
1.B.2.e	Support	Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.
1.B.2.e.1	Company Policies and Practices	Workers on this job are treated fairly by the company.
1.B.2.e.2	Supervision, Human Relations	Workers on this job have supervisors who back up their workers with management.
1.B.2.e.3	Supervision, Technical	Workers on this job have supervisors who train their workers well.
1.B.2.f	Independence	Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.
1.B.2.f.1	Creativity	Workers on this job try out their own ideas.
1.B.2.f.2	Responsibility	Workers on this job make decisions on their own.
1.B.2.f.3	Autonomy	Workers on this job plan their work with little supervision.
1.B.2.g	First Work Value High-Point	Primary-Rank Descriptiveness
1.B.2.h	Second Work Value High-Point	Secondary-Cutoff/Rank Descriptiveness
1.B.2.i	Third Work Value High-Point	Tertiary-Cutoff/Rank Descriptiveness
1.C	Work Styles	Personal characteristics that can affect how well someone performs a job.
1.C.1	Achievement Orientation	Job requires personal goal setting, trying to succeed at those goals, and striving to be competent in own work
1.C.1.a	Achievement/Effort	Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
1.C.1.b	Persistence	Job requires persistence in the face of obstacles.
1.C.1.c	Initiative	Job requires a willingness to take on responsibilities and challenges.
1.C.2	Social Influence	Job requires having an impact on others in the organization, and displaying energy and leadership
1.C.2.b	Leadership	Job requires a willingness to lead, take charge, and offer opinions and direction.
1.C.3	Interpersonal Orientation	Job requires being pleasant, cooperative, sensitive to others, easy to get along with, and having a preference for associating with other organization members
1.C.3.a	Cooperation	Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.
1.C.3.b	Concern for Others	Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
1.C.3.c	Social Orientation	Job requires preferring to work with others rather than alone, and being personally connected with others on the job.
1.C.4	Adjustment	Job requires maturity, poise, flexibility, and restraint to cope with pressure, stress, criticism, setbacks, personal and work-related problems, etc.
1.C.4.a	Self Control	Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.
1.C.4.b	Stress Tolerance	Job requires accepting criticism and dealing calmly and effectively with high stress situations.
1.C.4.c	Adaptability/Flexibility	Job requires being open to change (positive or negative) and to considerable variety in the workplace.
1.C.5	Conscientiousness	Job requires dependability, commitment to doing the job correctly and carefully, and being trustworthy, accountable, and attentive to details
1.C.5.a	Dependability	Job requires being reliable, responsible, and dependable, and fulfilling obligations.
1.C.5.b	Attention to Detail	Job requires being careful about detail and thorough in completing work tasks.
1.C.5.c	Integrity	Job requires being honest and ethical.
1.C.6	Independence	Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.
1.C.7	Practical Intelligence	Job requires generating useful ideas and thinking things through logically
1.C.7.a	Innovation	Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
1.C.7.b	Analytical Thinking	Job requires analyzing information and using logic to address work-related issues and problems.
2	Worker Requirements	Worker Requirements
2.A	Basic Skills	Developed capacities that facilitate learning or the more rapid acquisition of knowledge
2.A.1	Content	Background structures needed to work with and acquire more specific skills in a variety of different domains
2.A.1.a	Reading Comprehension	Understanding written sentences and paragraphs in work related documents.
2.A.1.b	Active Listening	Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.
2.A.1.c	Writing	Communicating effectively in writing as appropriate for the needs of the audience.
2.A.1.d	Speaking	Talking to others to convey information effectively.
2.A.1.e	Mathematics	Using mathematics to solve problems.
2.A.1.f	Science	Using scientific rules and methods to solve problems.
2.A.2	Process	Procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains
2.A.2.a	Critical Thinking	Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
2.A.2.b	Active Learning	Understanding the implications of new information for both current and future problem-solving and decision-making.
2.A.2.c	Learning Strategies	Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2.A.2.d	Monitoring	Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.
2.B	Cross-Functional Skills	Developed capacities that facilitate performance of activities that occur across jobs
2.B.1	Social Skills	Developed capacities used to work with people to achieve goals
2.B.1.a	Social Perceptiveness	Being aware of others' reactions and understanding why they react as they do.
2.B.1.b	Coordination	Adjusting actions in relation to others' actions.
2.B.1.c	Persuasion	Persuading others to change their minds or behavior.
2.B.1.d	Negotiation	Bringing others together and trying to reconcile differences.
2.B.1.e	Instructing	Teaching others how to do something.
2.B.1.f	Service Orientation	Actively looking for ways to help people.
2.B.2	Complex Problem Solving Skills	Developed capacities used to solve novel, ill-defined problems in complex, real-world settings
2.B.2.i	Complex Problem Solving	Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2.B.3	Technical Skills	Developed capacities used to design, set-up, operate, and correct malfunctions involving application of machines or technological systems
2.B.3.a	Operations Analysis	Analyzing needs and product requirements to create a design.
2.B.3.b	Technology Design	Generating or adapting equipment and technology to serve user needs.
2.B.3.c	Equipment Selection	Determining the kind of tools and equipment needed to do a job.
2.B.3.d	Installation	Installing equipment, machines, wiring, or programs to meet specifications.
2.B.3.e	Programming	Writing computer programs for various purposes.
2.B.3.g	Operation Monitoring	Watching gauges, dials, or other indicators to make sure a machine is working properly.
2.B.3.h	Operation and Control	Controlling operations of equipment or systems.
2.B.3.j	Equipment Maintenance	Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2.B.3.k	Troubleshooting	Determining causes of operating errors and deciding what to do about it.
2.B.3.l	Repairing	Repairing machines or systems using the needed tools.
2.B.3.m	Quality Control Analysis	Conducting tests and inspections of products, services, or processes to evaluate quality or performance.
2.B.4	Systems Skills	Developed capacities used to understand, monitor, and improve socio-technical systems
2.B.4.e	Judgment and Decision Making	Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2.B.4.g	Systems Analysis	Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.
2.B.4.h	Systems Evaluation	Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.
2.B.5	Resource Management Skills	Developed capacities used to allocate resources efficiently
2.B.5.a	Time Management	Managing one's own time and the time of others.
2.B.5.b	Management of Financial Resources	Determining how money will be spent to get the work done, and accounting for these expenditures.
2.B.5.c	Management of Material Resources	Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.
2.B.5.d	Management of Personnel Resources	Motivating, developing, and directing people as they work, identifying the best people for the job.
2.C	Knowledge	Organized sets of principles and facts applying in general domains
2.C.1	Business and Management	Knowledge of principles and facts related to business administration and accounting, human and material resource management in organizations, sales and marketing, economics, and office information and organizing systems
2.C.1.a	Administration and Management	Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.
2.C.1.b	Clerical	Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology.
2.C.1.c	Economics and Accounting	Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.
2.C.1.d	Sales and Marketing	Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.
2.C.1.e	Customer and Personal Service	Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.
2.C.1.f	Personnel and Human Resources	Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.
2.C.2	Manufacturing and Production	Knowledge of principles and facts related to the production, processing, storage, and distribution of manufactured and agricultural goods
2.C.2.a	Production and Processing	Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.
2.C.2.b	Food Production	Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.
2.C.3	Engineering and Technology	Knowledge of the design, development, and application of technology for specific purposes.
2.C.3.a	Computers and Electronics	Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.
2.C.3.b	Engineering and Technology	Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.
2.C.3.c	Design	Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.
2.C.3.d	Building and Construction	Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.
2.C.3.e	Mechanical	Knowledge of machines and tools, including their designs, uses, repair, and maintenance.
2.C.4	Mathematics and Science	Knowledge of the history, theories, methods, and applications of the physical, biological, social, mathematical, and geography
2.C.4.a	Mathematics	Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.
2.C.4.b	Physics	Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub- atomic structures and processes.
2.C.4.c	Chemistry	Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.
2.C.4.d	Biology	Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.
2.C.4.e	Psychology	Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.
2.C.4.f	Sociology and Anthropology	Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures and their history and origins.
2.C.4.g	Geography	Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.
2.C.5	Health Services	Knowledge of principles and facts regarding diagnosing, curing, and preventing disease, and improving and preserving physical and mental health and well-being
2.C.5.a	Medicine and Dentistry	Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.
2.C.5.b	Therapy and Counseling	Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.
2.C.6	Education and Training	Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.
2.C.7	Arts and Humanities	Knowledge of facts and principles related to the branches of learning concerned with human thought, language, and the arts.
2.C.7.a	English Language	Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.
2.C.7.b	Foreign Language	Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.
2.C.7.c	Fine Arts	Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.
2.C.7.d	History and Archeology	Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.
2.C.7.e	Philosophy and Theology	Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.
2.C.8	Law and Public Safety	Knowledge of regulations and methods for maintaining people and property free from danger, injury, or damage; the rules of public conduct established and enforced by legislation, and the political process establishing such rules.
2.C.8.a	Public Safety and Security	Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.
2.C.8.b	Law and Government	Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.
2.C.9	Communications	Knowledge of the science and art of delivering information
2.C.9.a	Telecommunications	Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.
2.C.9.b	Communications and Media	Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.
2.C.10	Transportation	Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.
2.D	Education	Prior educational experience required to perform in a job
2.D.1	Required Level of Education	The level of education required to perform a job.
2.D.2	Instructional Program Required	The instructional program required for this job
2.D.3	Education Level in Specific Subjects	The amount of education required in 15 subject areas to perform in a job. Subject areas cover most of the courses that occur in high school, junior college, college undergraduate degree programs, and other education and training programs
2.D.3.a	Technical Vocational	Courses focus on non-business technical skills, such as Agriculture, Industrial Arts, Automobile and Shop, and Electronics
2.D.3.b	Business Vocational	Courses focus on basic business skills, such as Word Processing, Filing, Bookkeeping/Basic Accounting
2.D.3.c	English/language Arts	Courses focus on reading, interpretation, and writing, such as Literature, Composition, Journalism, and Creative Writing
2.D.3.d	Oral Communication	Courses focus on oral communication and speech, such as Oral Communication, Speech, and Interpersonal Communication
2.D.3.e	Languages	Courses focus on reading, writing, and/or speaking languages other than English, such as French, Chinese, German, Japanese, Latin, Russian, and Spanish
2.D.3.f	Basic Math	Courses focus on basic and applied math, such as General Math and Business Math
2.D.3.g	Advanced Math	Courses focus on advanced topics in math, such as Algebra, Geometry, Calculus, and Statistics
2.D.3.h	Physical Science	Courses focus on the study of matter and/or energy, such as Physics, Chemistry, and Astronomy
2.D.3.i	Computer Science	Courses focus on computers and their uses, such as Programming, Information Systems Management, and Software Applications
2.D.3.j	Biological Science	Courses focus on the study of life and living beings, such as life science, biology, anatomy and physiology
2.D.3.k	Applied Science	Courses focus on the application of science, such as Engineering, Health, and Medicine
2.D.3.l	Social Science	Courses focus on the behavioral sciences, such as Social Studies, Economics, History, Psychology, and Sociology
2.D.3.m	Arts	Courses focus on visual and performing arts, such as Arts and Crafts, Music, Painting, Sculpture, Theater, and Voice
2.D.3.n	Humanities	Courses focus on cultural and philosophical aspects of humans, such as Minority Studies, Philosophy, and Religion
2.D.3.o	Physical Education	Courses focus on physical fitness and sports, such as Aerobics, Jogging, Weight Lifting, and Specific Sports
2.D.4	Job-Related Professional Certification	Certification: A credential awarded by a certification body based on an individual demonstrating through an examination process that he or she has acquired the designated knowledge, skills, and abilities to perform a specific job.
2.D.4.a	Job-Related Professional Certification	Possession of an occupational or industry certification to perform the job.
3	Experience Requirements	Experience Requirements
3.A	Experience and Training	If someone were being hired to perform this job, how much of the following would be required?
3.A.1	Related Work Experience	Amount of related work experience required to get hired for the job?
3.A.2	On-Site or In-Plant Training	Amount of on-site or in-plant training (e.g., organized class room instruction) required to perform the job?
3.A.3	On-the-Job Training	Amount of on the job training required to perform the job?
3.A.4	Apprenticeship	Apprenticeship is a combination of on-the-job training and related instruction in which workers learn the practical and theoretical aspects of a highly skilled occupation. Apprenticeship programs can be sponsored by individual employers, joint employer and labor groups, and/or employer associations.
3.A.4.a	Apprenticeship	Completion of a job-related apprenticeship to perform the job.
3.B	Basic Skills - Entry Requirement	Entry requirement for developed capacities that facilitate learning or the more rapid acquisition of knowledge
3.B.1	Content - Entry Requirement	Entry requirement for background structures needed to work with and acquire more specific skills in a variety of different domains
3.B.1.a	Reading Comprehension - Entry Requirement	Entry requirement for understanding written sentences and paragraphs in work related documents
3.B.1.b	Active Listening - Entry Requirement	Entry requirement for listening to what other people are saying and asking questions as appropriate
3.B.1.c	Writing - Entry Requirement	Entry requirement for communicating effectively with others in writing as indicated by the needs of the audience
3.B.1.d	Speaking - Entry Requirement	Entry requirement for talking to others to effectively convey information
3.B.1.e	Mathematics - Entry Requirement	Entry requirement for using mathematics to solve problems
3.B.1.f	Science - Entry Requirement	Entry requirement for using scientific methods to solve problems
3.B.2	Process - Entry Requirement	Entry requirement for procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains
3.B.2.a	Critical Thinking - Entry Requirement	Entry requirement for using logic and analysis to identify the strengths and weaknesses in different approaches
3.B.2.b	Active Learning - Entry Requirement	Entry requirement for working with new material or information to grasp its implications
3.B.2.c	Learning Strategies - Entry Requirement	Entry requirement for using multiple approaches when learning or teaching new things
3.B.2.d	Monitoring - Entry Requirement	Entry requirement for assessing how well one is doing when learning or doing something
3.C	Cross-Functional Skills - Entry Requirement	Entry requirement for developed capacities that facilitate performance of activities that occur across jobs
3.C.1	Social Skills - Entry Requirement	Entry requirement for developed capacities used to work with people to achieve goals
3.C.1.a	Social Perceptiveness - Entry Requirement	Entry requirement for being aware of others' reactions and understanding why they react the way they do
3.C.1.b	Coordination - Entry Requirement	Entry requirement for adjusting actions in relation to others' actions
3.C.1.c	Persuasion - Entry Requirement	Entry requirement for persuading others to approach things differently
3.C.1.d	Negotiation - Entry Requirement	Entry requirement for bring others together and trying to reconcile differences
3.C.1.e	Instructing - Entry Requirement	Entry requirement for teaching others how to do something
3.C.1.f	Service Orientation - Entry Requirement	Entry requirement for actively looking for ways to help people
3.C.2	Complex Problem Solving Skills - Entry Requirement	Entry requirement for developed capacities used to solve novel, ill-defined problems in complex, real-world settings
3.C.2.a	Problem Identification - Entry Requirement	Entry requirement for identifying the nature of problems
3.C.2.b	Information Gathering - Entry Requirement	Entry requirement for knowing how to find information and identifying essential information
3.C.2.c	Information Organization - Entry Requirement	Entry requirement for finding ways to structure or classify multiple pieces of information
3.C.2.d	Synthesis/Reorganization - Entry Requirement	Entry requirement for reorganizing information to get a better approach to problems or tasks
3.C.2.e	Idea Generation - Entry Requirement	Entry requirement for generating a number of different approaches to problems
3.C.2.f	Idea Evaluation - Entry Requirement	Entry requirement for evaluating the likely success of an idea in relation to the demands of the situation
