NASA Class Code,NASA Specialty Title,NCC,OPM Series Title,OPMSeries,OPM,NCC GRP NUM,NCC Group,Skill Mix Group,OPM SERIES NUMBER,OPM SERIES TITLE ,SUPERVISORY FEDERAL SECTOR JOB GROUP,NON-SUPERVISORY FEDERAL SECTOR JOB GROUP,2010 SOC CODE,2010 EEO TABULATION (CENSUS) CODE,2010 EEO TABULATION (CENSUS) OCCUPATION TITLE,
631-02,Human Resources Specialist (Recruitment and Placement),631-02 Human Resources Specialist (Recruitment and Placement),Human Resources Specialist (Recruitment and Placement),GS-0201-0,GS-0201-0 Human Resources Specialist (Recruitment and Placement),631,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
631-03,Human Resources Specialist (Placement),631-03 Human Resources Specialist (Placement),Human Resources Specialist (Placement),GS-0201-0,GS-0201-0 Human Resources Specialist (Placement),631,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
632-01,Human Resources Specialist (Classification),632-01 Human Resources Specialist (Classification),Human Resources Specialist (Classification),GS-0201-0,GS-0201-0 Human Resources Specialist (Classification),632,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
632-02,Human Resources Specialist (Compensation),632-02 Human Resources Specialist (Compensation),Human Resources Specialist (Compensation),GS-0201-0,GS-0201-0 Human Resources Specialist (Compensation),632,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
633-01,Human Resources Specialist (Human Resource Development),633-01 Human Resources Specialist (Human Resource Development),Human Resources Specialist (Human Resource Development),GS-0201-0,GS-0201-0 Human Resources Specialist (Human Resource Development),633,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
634-01,Human Resources Specialist (Labor Relations),634-01 Human Resources Specialist (Labor Relations),Human Resources Specialist (Labor Relations),GS-0201-0,GS-0201-0 Human Resources Specialist (Labor Relations),634,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
635-01,Human Resources Specialist (Employee Relations),635-01 Human Resources Specialist (Employee Relations),Human Resources Specialist (Employee Relations),GS-0201-0,GS-0201-0 Human Resources Specialist (Employee Relations),635,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
637-01,Human Resources Specialist (Information Systems),637-01 Human Resources Specialist (Information Systems),Human Resources Specialist (Information Systems),GS-0201-0,GS-0201-0 Human Resources Specialist (Information Systems),637,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
638-01,Human Resources Specialist (Employee Benefits),638-01 Human Resources Specialist (Employee Benefits),Human Resources Specialist (Employee Benefits),GS-0201-0,GS-0201-0 Human Resources Specialist (Employee Benefits),638,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
639-01,Human Resources Specialist (Performance Management),639-01 Human Resources Specialist (Performance Management),Human Resources Specialist (Performance Management),GS-0201-0,GS-0201-0 Human Resources Specialist (Performance Management),639,HR,PROF ADMIN,201,HUMAN RESOURCES MANAGEMENT ,1,2,Nov-21,136,HUMAN RESOURCES MANAGERS,
509-01,Human Resources Assistant,509-01 Human Resources Assistant,Human Resources Assistant,GS-0203-0,GS-0203-0 Human Resources Assistant,509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-02,Human Resources Assistant (Information Systems),509-02 Human Resources Assistant (Information Systems),Human Resources Assistant (Information Systems),GS-0203-0,GS-0203-0 Human Resources Assistant (Information Systems),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-03,Human Resources Assistant (Classification),509-03 Human Resources Assistant (Classification),Human Resources Assistant (Classification),GS-0203-0,GS-0203-0 Human Resources Assistant (Classification),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-04,Human Resources Assistant (Recruitment and Placement),509-04 Human Resources Assistant (Recruitment and Placement),Human Resources Assistant (Recruitment and Placement),GS-0203-0,GS-0203-0 Human Resources Assistant (Recruitment and Placement),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-05,Human Resources Assistant (Employee Benefits),509-05 Human Resources Assistant (Employee Benefits),Human Resources Assistant (Employee Benefits),GS-0203-0,GS-0203-0 Human Resources Assistant (Employee Benefits),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-06,Human Resources Assistant (Human Resource Development),509-06 Human Resources Assistant (Human Resource Development),Human Resources Assistant (Human Resource Development),GS-0203-0,GS-0203-0 Human Resources Assistant (Human Resource Development),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-07,Human Resources Assistant (Performance Management),509-07 Human Resources Assistant (Performance Management),Human Resources Assistant (Performance Management),GS-0203-0,GS-0203-0 Human Resources Assistant (Performance Management),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-08,Human Resources Assistant (Employee Relations),509-08 Human Resources Assistant (Employee Relations),Human Resources Assistant (Employee Relations),GS-0203-0,GS-0203-0 Human Resources Assistant (Employee Relations),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-09,Human Resources Assistant (Labor Relations),509-09 Human Resources Assistant (Labor Relations),Human Resources Assistant (Labor Relations),GS-0203-0,GS-0203-0 Human Resources Assistant (Labor Relations),509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
509-13,Human Resources Assistant (OA,509-13 Human Resources Assistant (OA,Human Resources Assistant (OA,GS-0203-0,GS-0203-0 Human Resources Assistant (OA,509,Human Resources and Education Assistant,CLERICAL,203,HUMAN RESOURCES ASSISTANCE ,1,5,43-4161,5360,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND TIEMKEEPING",
645-01,Equal Employment Specialist,645-01 Equal Employment Specialist,Equal Employment Specialist,GS-0260-0,GS-0260-0 Equal Employment Specialist,645,EO and Social Scientist,PROF ADMIN,260,EQUAL EMPLOYMENT OPPORTUNITY,1,2,13-1041,565,COMPLIANCE OFFICERS,
645-02,Equal Employment Manager,645-02 Equal Employment Manager,Equal Employment Manager,GS-0260-0,GS-0260-0 Equal Employment Manager,645,EO and Social Scientist,PROF ADMIN,260,EQUAL EMPLOYMENT OPPORTUNITY,1,2,13-1041,565,COMPLIANCE OFFICERS,
540-02,Student Trainee,540-02 Student Trainee,Student Trainee,GS-0299-0,GS-0299-0 Student Trainee,540,Student Trainee Admin,CLERICAL,299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,1,5*,13-1070,630,HUMAN RESOURCES WORKERS,
540-22,Student Trainee (Equal Employment Opportunity),540-22 Student Trainee (Equal Employment Opportunity),Student Trainee (Equal Employment Opportunity),GS-0299-0,GS-0299-0 Student Trainee (Equal Employment Opportunity),540,Student Trainee Admin,CLERICAL,299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,1,5*,13-1070,630,HUMAN RESOURCES WORKERS,
699-89,Student Trainee (Human Resources),699-89 Student Trainee (Human Resources),Student Trainee (Human Resources),GS-0299-0,GS-0299-0 Student Trainee (Human Resources),699,Misc Specialty,PROF ADMIN,299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,1,5*,13-1070,630,HUMAN RESOURCES WORKERS,
699-90,Student Trainee (EEO),699-90 Student Trainee (EEO),Student Trainee (EEO),GS-0299-0,GS-0299-0 Student Trainee (EEO),699,Misc Specialty,PROF ADMIN,299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,1,5*,13-1070,630,HUMAN RESOURCES WORKERS,
601-01,Administrative Manager,601-01 Administrative Manager,Administrative Manager,GS-0301-0,GS-0301-0 Administrative Manager,601,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
601-03,Administrative Specialist,601-03 Administrative Specialist,Administrative Specialist,GS-0301-0,GS-0301-0 Administrative Specialist,601,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
601-09,Executive Assistant,601-09 Executive Assistant,Executive Assistant,GS-0301-0,GS-0301-0 Executive Assistant,601,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
602-03,Program Specialist,602-03 Program Specialist,Program Specialist,GS-0301-0,GS-0301-0 Program Specialist,602,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
603-05,Configuration Management Specialist,603-05 Configuration Management Specialist,Configuration Management Specialist,GS-0301-0,GS-0301-0 Configuration Management Specialist,603,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
604-01,Project Analyst,604-01 Project Analyst,Project Analyst,GS-0301-0,GS-0301-0 Project Analyst,604,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
604-02,ISO 9000 Specialist,604-02 ISO 9000 Specialist,ISO 9000 Specialist,GS-0301-0,GS-0301-0 ISO 9000 Specialist,604,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
604-03,Internal Assessment Program Specialist,604-03 Internal Assessment Program Specialist,Internal Assessment Program Specialist,GS-0301-0,GS-0301-0 Internal Assessment Program Specialist,604,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
604-04,Project Analysis Officer,604-04 Project Analysis Officer,Project Analysis Officer,GS-0301-0,GS-0301-0 Project Analysis Officer,604,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
606-01,RESOURCES MANAGEMENT,606-01 RESOURCE MANAGEMENT,RESOURCE MANAGEMENT,GS-0301-0,GS-0301-0 MISCELLANEOUS ADMIN,606,Administrative,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
611-04,Contract Program Support Specialist,611-04 Contract Program Support Specialist,Contract Program Support Specialist,GS-0301-0,GS-0301-0 Contract Program Support Specialist,611,Contract and Procurement,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
641-02,Media Relations Specialist,641-02 Media Relations Specialist,Media Relations Specialist,GS-0301-0,GS-0301-0 Media Relations Specialist,641,Public Affairs,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
654-01,Documentation Management Specialist,654-01 Documentation Management Specialist,Documentation Management Specialist,GS-0301-0,GS-0301-0 Documentation Management Specialist,654,Technical Communications,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
655-01,Communication Specialist,655-01 Communication Specialist,Communication Specialist,GS-0301-0,GS-0301-0 Communication Specialist,655,Technical Communications,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
661-01,Legislative Affairs Specialist,661-01 Legislative Affairs Specialist,Legislative Affairs Specialist,GS-0301-0,GS-0301-0 Legislative Affairs Specialist,661,"Legal, Legislative, and Patent",PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
677-01,Senior Executive (Administrative),677-01 Senior Executive (Administrative),Senior Executive (Administrative),GS-0301-0,GS-0301-0 Senior Executive (Administrative),677,Management and Supporting Ops,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
677-02,Administrative Program Manager,677-02 Administrative Program Manager,Administrative Program Manager,GS-0301-0,GS-0301-0 Administrative Program Manager,677,Management and Supporting Ops,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
677-03,Administrative Project Manager,677-03 Administrative Project Manager,Administrative Project Manager,GS-0301-0,GS-0301-0 Administrative Project Manager,677,Management and Supporting Ops,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
682-02,Business Management Specialist,682-02 Business Management Specialist,Business Management Specialist,GS-0301-0,GS-0301-0 Business Management Specialist,682,Business and Industry,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
682-03,Operations Support Specialist,682-03 Operations Support Specialist,Operations Support Specialist,GS-0301-0,GS-0301-0 Operations Support Specialist,682,Business and Industry,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
684-02,Workforce Planning Analyst,684-02 Workforce Planning Analyst,Workforce Planning Analyst,GS-0301-0,GS-0301-0 Workforce Planning Analyst,684,Business and Industry,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
684-03,Workforce Planning Officer,684-03 Workforce Planning Officer,Workforce Planning Officer,GS-0301-0,GS-0301-0 Workforce Planning Officer,684,Business and Industry,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
685-01,Exchange Operations Manager,685-01 Exchange Operations Manager,Exchange Operations Manager,GS-0301-0,GS-0301-0 Exchange Operations Manager,685,Business and Industry,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
