Commodity Code	Commodity Title	Class Code	Class Title	Family Code	Family Title	Segment Code	Segment Title
20101619	Weigh belt feeder	20101600	Screens and feeding equipment	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101701	Rock crushers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101702	Roll crushers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101703	Cone crushers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101704	Gyratory crushers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101705	Impact crushers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101706	Jaw crushers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101710	Pulverizing machinery	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101711	Rock breakers	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101713	Cyclone or vortex grinders	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101716	Crusher hammer	20101700	Crushers and breakers and grinders	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101801	Cable bolters	20101800	Mechanized ground support systems	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101802	Scissor bolters	20101800	Mechanized ground support systems	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101803	Boom bolters	20101800	Mechanized ground support systems	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101804	Shotcrete spraying equipment	20101800	Mechanized ground support systems	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20101902	Repetitive impact systems	20101900	Secondary rock breaking systems	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102007	Core drills	20102000	Exploration and development systems	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102101	Pneumatic rock drills	20102100	Rock drills	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102102	Hydraulic rock drills	20102100	Rock drills	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102103	Hand held rock drills	20102100	Rock drills	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102201	Ammonium nitrate and fuel oil ANFO loading machinery	20102200	Explosive loading machinery	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102203	Explosive loading machinery spare parts or accessories	20102200	Explosive loading machinery	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20102304	Bulk material carriers	20102300	Underground mining service vehicles	20100000	Mining and quarrying machinery and equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111601	Boring or sinking machinery	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111603	Hammer drills	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111607	Tunneling machinery	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111608	Striking hammers	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111609	Sinker drills	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111611	Rotary drills	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111614	Industrial drill bits	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111616	Derricks	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111618	Downhole fishing poles	20111600	Drilling and operation machinery	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111702	Packers or tubing anchors	20111700	Drilling and operation accessories	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111703	Drilling casings	20111700	Drilling and operation accessories	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20111704	Drilling screens	20111700	Drilling and operation accessories	20110000	Well drilling and operation equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121104	Cement bulk material equipment	20121100	Cementing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121109	Cement pumping units	20121100	Cementing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121110	Cement retainers	20121100	Cementing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121115	Oilfield cementing tools	20121100	Cementing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121316	Sand control screens	20121300	Sand control equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121404	Completion bull plugs	20121400	Completion tools and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121413	Completion hydraulic pumps	20121400	Completion tools and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121449	Plunger lift equipment	20121400	Completion tools and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121501	Blowout preventers	20121500	Conventional drilling tools	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121502	Blowout preventer controls	20121500	Conventional drilling tools	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121504	Drill collars	20121500	Conventional drilling tools	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121505	Coring equipment	20121500	Conventional drilling tools	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121508	Drill pipe	20121500	Conventional drilling tools	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121906	Nuclear tools	20121900	Well measurement and logging equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121910	Telemetry systems	20121900	Well measurement and logging equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20121913	Well logging downhole test equipment	20121900	Well measurement and logging equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122101	Capsule guns	20122100	Perforating equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122102	Casing guns	20122100	Perforating equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122114	Through tubing perforation guns	20122100	Perforating equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122204	Choke manifolds	20122200	Well testing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122212	Oil samplers	20122200	Well testing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122213	Well testing separators	20122200	Well testing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122216	Well testing downhole tools	20122200	Well testing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122308	Slickline chemical cutters	20122300	Slickline equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122321	Slickline jet cutters	20122300	Slickline equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122335	Slickline severing tools	20122300	Slickline equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122349	Wireline grabs	20122300	Slickline equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122403	Hipot testers	20122400	Production systems equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122409	Oilfield production spoolers	20122400	Production systems equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122501	Blaster tools	20122500	Coiled tubing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122503	Coiled tubing units	20122500	Coiled tubing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122506	Coiled tubing injector heads	20122500	Coiled tubing equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122605	Seismic geophones	20122600	Seismic equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122615	Seismic receivers	20122600	Seismic equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122709	Oil country thread protectors	20122700	Oil country tubular goods	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122801	Mud agitators	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122802	Mud tanks	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122807	Drawworks	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122809	Drill swivels	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122811	Drill rig elevators	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122820	Land drilling rigs	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122821	Mud cleaning equipment	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122822	Mud manifolds	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122823	Mud mixers	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122824	Pipe handling equipment	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122829	Drill rig rotary tables	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122833	Makeup tongs	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122838	Shale shakers	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122839	Mud degassers	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122840	Crown blocks	20122800	Drilling and workover rigs and equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122902	Surface data logging sensors	20122900	Surface data logging equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20122903	Surface data logging units	20122900	Surface data logging equipment	20120000	Oil and gas drilling and exploration equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141002	Wellhead beam pumps	20141000	Wellhead equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141003	Wellhead flow lines	20141000	Wellhead equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141005	Wellhead production chokes	20141000	Wellhead equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141011	Tubing head adapter	20141000	Wellhead equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141014	Casing head spool	20141000	Wellhead equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141015	Wellhead tees or crosses	20141000	Wellhead equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141301	Downhole jet pumps	20141300	Downhole jet pumps and anchors	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20141501	Electric downhole pumps	20141500	Downhole pumps	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142101	Oil well heater treaters	20142100	Heater treaters	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142501	Oil field water oil centrifuges	20142500	Produced water treating equipment	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142702	Rod pumps	20142700	Pumping units	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142703	Mechanical rod pumps	20142700	Pumping units	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142801	Oil water separators	20142800	Production separators	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142901	Oil storage tanks	20142900	Storage vessels and tanks	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
20142903	Steel holding tank	20142900	Storage vessels and tanks	20140000	Oil and gas operating and production equipment	20000000	Mining and Well Drilling Machinery and Accessories
21101501	Ploughs	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101502	Harrows	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101503	Cultivators	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101504	Weeders	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101505	Hoeing machines	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101506	Graders or land levelers	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101507	Agricultural rollers	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101508	Rollers for lawn or sports grounds	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101511	Irrigation trickles	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101512	Irrigation overheads	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101513	Disks	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101514	Subsoilers	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101516	Dibblers	21101500	Agricultural machinery for soil preparation	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101601	Planters	21101600	Agricultural machinery for planting and seeding	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101602	Transplanters	21101600	Agricultural machinery for planting and seeding	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101604	Seed drills	21101600	Agricultural machinery for planting and seeding	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101605	Seed treating equipment	21101600	Agricultural machinery for planting and seeding	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101606	Hole diggers	21101600	Agricultural machinery for planting and seeding	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101607	Seeder attachment	21101600	Agricultural machinery for planting and seeding	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101701	Mowers	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101702	Haymaking machinery	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101703	Harvesters	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101704	Combine harvesters	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101705	Threshing machines	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101706	Crop dividers	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101707	Harvester parts or accessories	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101708	Mower parts or accessories	21101700	Agricultural machinery for harvesting	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101801	Sprayers	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101802	Dusters	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101803	Water sprinklers	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101804	Fertilizer spreaders or distributors	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101805	Fog or mist generators	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101806	Composter	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101807	Pollination equipment or supplies	21101800	Dispersing and spraying appliances for agriculture	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101901	Milking machines	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101902	Animal husbandry equipment	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101903	Incubators or brooders for poultry	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101904	Feed mixers	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101905	Livestock identification equipment	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101906	Egg inspection or collecting equipment	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101907	Animal watering machines	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101908	Milk cooling tanks	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101909	Animal shearing or clipping equipment	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101910	Wool comb	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21101912	Livestock restraint chute	21101900	Poultry and livestock equipment	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21102001	Cleaning machines for seed or grain or dried leguminous vegetables	21102000	Agricultural machinery for cleaning and sorting and grading	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21102002	Sorting machines for seed or grain or dried leguminous vegetables	21102000	Agricultural machinery for cleaning and sorting and grading	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21102003	Grading machines for seed or grain or dried leguminous vegetables	21102000	Agricultural machinery for cleaning and sorting and grading	21100000	Agricultural and forestry and landscape machinery and equipment	21000000	Farming and Fishing and Forestry and Wildlife Machinery and Accessories
