O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Domain Source
17-3031.01	Conduct surveys to ascertain the locations of natural features and man-made structures on the Earth's surface, underground, and underwater, using electronic distance-measuring equipment, such as GPS, and other surveying instruments.	Revision	5400	Conduct surveys to ascertain the locations of natural features and man-made structures on the Earth's surface, underground, and underwater, using electronic distance-measuring equipment and other surveying instruments.	6	07/2017	Occupational Expert
17-3031.02	Prepare cost estimates for mapping projects.	New	n/a	n/a	6	07/2014	Incumbent
19-1013.00	Conduct experiments to investigate the underlying mechanisms involved in plant growth and plant responses to the environment.	New	n/a	n/a	8	07/2014	Occupational Expert
19-1021.00	Write grant proposals to obtain funding for research.	New	n/a	n/a	8	07/2012	Occupational Expert
19-1023.00	Conduct literature reviews.	New	n/a	n/a	5	08/2018	Incumbent
19-1023.00	Develop or make recommendations on management systems and plans for wildlife populations and habitat, consulting with stakeholders and the public at large to explore options.	Revision	1495	Make recommendations on management systems and planning for wildlife populations and habitat, consulting with stakeholders and the public at large to explore options.	13	08/2018	Incumbent
19-1029.02	Prepare or review reports, manuscripts, or meeting presentations.	Revision	16803	Prepare reports, manuscripts, and meeting presentations.	4	07/2016	Occupational Expert
19-1029.02	Write grant applications to obtain funding.	New	n/a	n/a	5	07/2016	Occupational Expert
19-1031.01	Develop soil maps.	New	n/a	n/a	6	07/2011	Occupational Expert
19-1031.02	Coordinate with federal land managers and other agencies and organizations to manage and protect rangelands.	New	n/a	n/a	15	12/2005	Incumbent
19-1031.02	Regulate grazing (e.g., by issuing permits and checking for compliance with standards), and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	Revision	7496	Regulate grazing, and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	20	12/2005	Incumbent
19-1031.03	Provide care for park program animals.	New	n/a	n/a	6	07/2016	Incumbent
19-1031.03	Train staff on park programs.	New	n/a	n/a	6	07/2016	Incumbent
19-1041.00	Write articles for publication in professional journals.	New	n/a	n/a	5	07/2016	Occupational Expert
19-1041.00	Write grant applications for funding epidemiologic research.	New	n/a	n/a	6	07/2016	Occupational Expert
19-1042.00	Write applications for research grants.	New	n/a	n/a	12	07/2012	Incumbent
19-2011.00	Conduct question and answer presentations on astronomy topics with public audiences.	New	n/a	n/a	7	07/2011	Occupational Expert
19-2011.00	Mentor graduate students and junior colleagues.	New	n/a	n/a	7	07/2011	Occupational Expert
19-2011.00	Supervise students' research on celestial and astronomical phenomena.	New	n/a	n/a	4	07/2011	Occupational Expert
19-2012.00	Write research proposals to receive funding.	New	n/a	n/a	8	12/2006	Incumbent
19-2032.00	Write research papers for publication in scientific journals.	New	n/a	n/a	18	07/2012	Occupational Expert
19-2041.02	Write grants to obtain funding for restoration projects.	New	n/a	n/a	4	07/2013	Occupational Expert
19-2042.00	Review environmental, historical, or technical reports and publications for accuracy.	New	n/a	n/a	4	07/2013	Occupational Expert
19-2043.00	Prepare reports or presentations describing research results, using illustrations, maps, appendices, and other information.	Revision	18618	Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.	7	08/2018	Occupational Expert
19-3011.00	Review documents written by others.	New	n/a	n/a	5	08/2019	Occupational Expert
19-3011.01	Teach courses in environmental economics.	New	n/a	n/a	7	07/2012	Occupational Expert
19-3031.02	Conduct assessments of patients' risk for harm to self or others.	New	n/a	n/a	5	07/2012	Incumbent
19-3031.02	Prepare written evaluations of individuals' psychological competence for court hearings.	New	n/a	n/a	8	07/2012	Incumbent
19-3031.03	Supervise and train interns, clinicians in training, and other counselors.	Revision	20219	Supervise interns, clinicians in training, and other counselors.	8	07/2012	Incumbent
19-3041.00	Explain sociological research to the general public.	New	n/a	n/a	6	07/2016	Occupational Expert
19-3041.00	Write grants to obtain funding for research projects.	New	n/a	n/a	4	07/2016	Occupational Expert
19-3091.01	Write grant proposals to obtain funding for research.	New	n/a	n/a	6	08/2018	Occupational Expert
19-3091.02	Design exhibits of artifacts.	New	n/a	n/a	4	07/2012	Occupational Expert
19-3091.02	Educate the public about archeology.	New	n/a	n/a	11	07/2012	Occupational Expert
19-3091.02	Mentor archeology students.	New	n/a	n/a	4	07/2012	Occupational Expert
19-3094.00	Advise political science students.	New	n/a	n/a	10	07/2017	Occupational Expert
19-3094.00	Serve on committees.	New	n/a	n/a	4	07/2017	Occupational Expert
19-4011.02	Supervise other food science technicians.	New	n/a	n/a	5	07/2013	Incumbent
19-4041.01	Evaluate and interpret seismic data with the aid of computers.	New	n/a	n/a	8	12/2006	Incumbent
19-4041.01	Record geological data in a database.	New	n/a	n/a	6	12/2006	Incumbent
19-4051.02	Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.	Revision	7608	Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.	11	07/2014	Incumbent
19-4051.02	Document results from radiation and contamination surveys.	New	n/a	n/a	5	07/2014	Incumbent
19-4051.02	Inspect, test, and maintain respiratory protection equipment.	New	n/a	n/a	9	07/2014	Incumbent
19-4051.02	Write radiological work permits.	New	n/a	n/a	7	07/2014	Incumbent
19-4061.00	Write grant proposals.	New	n/a	n/a	5	08/2019	Incumbent
19-4092.00	Analyze data from computers or other digital media sources for evidence related to criminal activity.	New	n/a	n/a	7	07/2013	Incumbent
19-4092.00	Analyze DNA data to identify DNA donor profiles.	New	n/a	n/a	9	07/2013	Incumbent
19-4092.00	Examine footwear, tire tracks or other types of impressions.	New	n/a	n/a	7	07/2013	Incumbent
19-4092.00	Examine physical evidence, such as hair, biological fluids, fiber, wood, or soil residues to obtain information about its source and composition.	Revision	1585	Examine physical evidence, such as hair, fiber, wood, or soil residues to obtain information about its source and composition.	6	07/2013	Incumbent
19-4092.00	Measure and sketch crime scenes to document evidence.	New	n/a	n/a	14	07/2013	Incumbent
19-4092.00	Train others, such as new personnel, on crime scene investigation techniques, including the collection and packaging of evidence.	New	n/a	n/a	9	07/2013	Incumbent
19-4093.00	Develop contracts related to operations.	New	n/a	n/a	5	08/2018	Incumbent
19-4093.00	Monitor environmental conditions such as temperature or humidity.	New	n/a	n/a	5	08/2018	Incumbent
19-4093.00	Write reports on forestry or conservation activities.	New	n/a	n/a	7	08/2018	Incumbent
21-1012.00	Counsel individuals or groups to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.	Revision	5605	Counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.	5	08/2018	Incumbent
21-1012.00	Refer students to outside counseling services.	New	n/a	n/a	5	08/2018	Incumbent
21-1014.00	Collaborate with mental health professionals and other staff members to perform clinical assessments or develop treatment plans.	Revision	1599	Collaborate with other staff members to perform clinical assessments or develop treatment plans.	7	07/2013	Incumbent
21-1014.00	Perform crisis interventions to help ensure the safety of the patients and others.	New	n/a	n/a	8	07/2013	Incumbent
21-1015.00	Supervise rehabilitation counselors and staff.	New	n/a	n/a	5	07/2012	Incumbent
21-1022.00	Educate clients about end of life symptoms and options to assist them in making informed decisions.	New	n/a	n/a	5	07/2014	Occupational Expert
21-1093.00	Assess clients' cognitive abilities, and physical and emotional needs to determine appropriate interventions.	New	n/a	n/a	8	07/2013	Incumbent
21-1093.00	Develop and implement behavioral management and care plans for clients.	New	n/a	n/a	6	07/2013	Incumbent
23-1011.00	Negotiate contractual agreements.	New	n/a	n/a	6	07/2016	Incumbent
23-1011.00	Work in environmental law, representing the state, federal agencies, public interest groups, waste disposal companies, or construction firms.	Revision	3794	Work in environmental law, representing public interest groups, waste disposal companies, or construction firms in their dealings with state and federal agencies.	6	07/2016	Incumbent
23-1021.00	Schedule hearings.	New	n/a	n/a	5	07/2011	Incumbent
23-1023.00	Issue arrest warrants.	New	n/a	n/a	6	07/2011	Incumbent
23-2011.00	Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.	Revision	1634	Prepare legal documents, including briefs, pleadings, appeals, wills, contracts, and real estate closing statements.	6	08/2018	Incumbent
23-2091.00	Log and store exhibits from court proceedings.	New	n/a	n/a	14	07/2011	Incumbent
23-2091.00	Proofread transcripts for correct spelling of words.	New	n/a	n/a	35	07/2011	Incumbent
23-2091.00	Type court orders for judges.	New	n/a	n/a	6	07/2011	Incumbent
25-1022.00	Hire adjunct faculty.	New	n/a	n/a	5	08/2019	Incumbent
25-1042.00	Write letters of recommendation for students.	New	n/a	n/a	10	08/2019	Incumbent
25-1051.00	Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.	Revision	5849	Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, and atmospheric thermodynamics.	6	08/2019	Incumbent
25-1054.00	Review articles to determine their suitability for publication.	New	n/a	n/a	5	08/2019	Incumbent
25-1061.00	Hire new faculty.	New	n/a	n/a	6	08/2019	Incumbent
25-1066.00	Mentor other faculty members.	New	n/a	n/a	5	08/2019	Incumbent
25-1067.00	Give presentations to community groups.	New	n/a	n/a	6	08/2019	Incumbent
25-1067.00	Review manuscripts.	New	n/a	n/a	5	08/2019	Incumbent
25-1067.00	Write letters of recommendation for students.	New	n/a	n/a	6	08/2019	Incumbent
25-1081.00	Deliver presentations at professional conferences.	New	n/a	n/a	5	08/2019	Incumbent
25-1082.00	Serve as a mentor.	New	n/a	n/a	6	08/2019	Incumbent
25-1113.00	Mentor new faculty members.	New	n/a	n/a	5	07/2014	Incumbent
25-1121.00	Direct theater productions.	New	n/a	n/a	5	08/2019	Incumbent
25-1121.00	Mentor students.	New	n/a	n/a	6	08/2019	Incumbent
25-1125.00	Evaluate faculty members.	New	n/a	n/a	6	08/2019	Incumbent
25-1191.00	Correspond with students through email to address their questions and concerns.	New	n/a	n/a	8	07/2016	Incumbent
25-1193.00	Monitor department budgets.	New	n/a	n/a	6	08/2019	Incumbent
25-2059.01	Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.	New	n/a	n/a	8	07/2012	Occupational Expert
25-4031.00	Open and close the library.	New	n/a	n/a	6	07/2017	Incumbent
25-9011.00	Train faculty and media staff on the use of software and audio-visual equipment.	Revision	21135	Train faculty and media staff on the use of audio-visual equipment.	11	08/2019	Incumbent
25-9041.00	Present subject matter to students under the direction and guidance of teachers, using lectures, discussions, supervised role-playing methods, or by reading aloud.	Revision	8701	Present subject matter to students under the direction and guidance of teachers, using lectures, discussions, or supervised role-playing methods.	5	08/2018	Incumbent
27-1012.00	Pack products for shipping.	New	n/a	n/a	4	07/2016	Occupational Expert
27-1024.00	Prepare digital files for printing.	New	n/a	n/a	4	07/2016	Occupational Expert
27-1024.00	Research the target audience of projects.	New	n/a	n/a	4	07/2016	Occupational Expert
27-1024.00	Write or edit copy for clients.	New	n/a	n/a	5	07/2016	Occupational Expert
27-1025.00	Research health and safety code requirements to inform design.	New	n/a	n/a	8	07/2017	Occupational Expert
27-2012.01	Monitor time during live broadcasts.	New	n/a	n/a	5	07/2011	Incumbent
27-2012.01	Schedule guests to appear on shows.	New	n/a	n/a	5	07/2011	Incumbent
27-2012.01	Select news content that is relevant and important to viewers.	New	n/a	n/a	10	07/2011	Incumbent
27-2023.00	Inspect game sites for compliance with regulations or safety requirements.	New	n/a	n/a	4	07/2014	Occupational Expert
27-2041.01	Compose instrumental or vocal music.	New	n/a	n/a	6	07/2017	Incumbent
27-2041.01	Practice playing musical instruments.	New	n/a	n/a	8	07/2017	Incumbent
27-2041.04	Produce recordings of music.	New	n/a	n/a	8	06/2007	Incumbent
27-2041.04	Stay abreast of the latest trends in music and music technology.	New	n/a	n/a	9	06/2007	Incumbent
27-3031.00	Post and update content on the company's website and social media outlets.	Revision	20556	Update and maintain content posted on the Web.	5	07/2014	Occupational Expert
27-3041.00	Respond to questions from the public.	New	n/a	n/a	8	07/2017	Incumbent
27-3041.00	Write text, such as headlines, stories, articles, editorials, or newsletters.	Revision	21000	Write text, such as stories, articles, editorials, or newsletters.	31	07/2017	Incumbent
27-3043.04	Work with staff to develop advertising concepts.	New	n/a	n/a	5	06/2009	Incumbent
27-4011.00	Purchase audio or video equipment.	New	n/a	n/a	7	08/2018	Incumbent
27-4012.00	Develop budgets.	New	n/a	n/a	10	08/2019	Incumbent
29-1011.00	Provide guidance to patients on exercises they can perform to improve mobility.	New	n/a	n/a	5	07/2013	Incumbent
29-1011.00	Take x-rays.	New	n/a	n/a	6	07/2013	Incumbent
29-1022.00	Evaluate and treat problems related to the temperomandibular joint (TMJ).	New	n/a	n/a	7	07/2012	Incumbent
29-1023.00	Advise patients to comply with treatment plans.	New	n/a	n/a	13	07/2012	Incumbent
29-1024.00	Examine patients to diagnose oral health conditions and diseases.	New	n/a	n/a	11	07/2012	Incumbent
29-1061.00	Place invasive intravascular monitors into patients.	New	n/a	n/a	5	07/2012	Incumbent
29-1061.00	Teach anesthesiology principles to residents.	New	n/a	n/a	12	07/2012	Incumbent
29-1065.00	Teach residents or medical students about pediatric topics.	New	n/a	n/a	13	07/2012	Incumbent
29-1066.00	Perform mental health evaluations to provide information to courts of law on patients' mental states.	New	n/a	n/a	6	07/2014	Incumbent
29-1069.03	Direct or support quality improvement projects or safety programs.	New	n/a	n/a	14	07/2014	Occupational Expert
29-1122.01	Teach self-advocacy skills to clients.	New	n/a	n/a	6	07/2014	Occupational Expert
29-1126.00	Attend high-risk and caesarian section infant deliveries to provide neonatal respiratory care as needed.	New	n/a	n/a	5	07/2013	Incumbent
29-1127.00	Evaluate oral motor function in infants.	New	n/a	n/a	13	07/2013	Incumbent
29-1127.00	Supervise students or assistants.	New	n/a	n/a	9	07/2013	Incumbent
29-1141.04	Provide coaching and mentoring to other caregivers to help facilitate their professional growth and development.	New	n/a	n/a	4	07/2013	Occupational Expert
29-1161.00	Instruct student nurse-midwives, medical students, or residents on the birthing process.	New	n/a	n/a	14	07/2014	Occupational Expert
29-2011.03	Archive diagnostic material, such as histologic slides and blocks.	New	n/a	n/a	4	07/2014	Occupational Expert
29-2012.00	Perform quality control analyses to ensure accuracy of test results.	New	n/a	n/a	8	07/2014	Incumbent
29-2021.00	Attend continuing education courses to maintain or update skills.	New	n/a	n/a	7	07/2013	Incumbent
29-2031.00	Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.	Revision	15234	Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.	7	07/2014	Incumbent
29-2033.00	Schedule patients for nuclear medicine exams and procedures.	New	n/a	n/a	8	07/2013	Incumbent
29-2035.00	Comfort patients during exams or request sedatives or other medication from physicians for patients with anxiety or claustrophobia.	Revision	19234	Request sedatives or other medication from physicians for patients with anxiety or claustrophobia.	4	07/2017	Occupational Expert
29-2035.00	Review physicians' orders to confirm prescribed exams.	New	n/a	n/a	5	07/2017	Occupational Expert
29-2051.00	Attend interdisciplinary meetings with other health care professionals to discuss patient care.	New	n/a	n/a	7	07/2013	Incumbent
29-2051.00	Observe and monitor patient food intake and body weight, and report changes, progress, and dietary problems to dietician.	Revision	4164	Observe patient food intake and report progress and dietary problems to dietician.	7	07/2013	Incumbent
29-2052.00	Enter prescription information into computer databases.	New	n/a	n/a	5	07/2013	Incumbent
29-2054.00	Assist with intubations.	New	n/a	n/a	6	07/2014	Incumbent
29-2055.00	Schedule surgical procedures for patients.	New	n/a	n/a	5	07/2013	Incumbent
29-2055.00	Transport patients to and from the operating room.	New	n/a	n/a	5	07/2013	Incumbent
29-2071.00	Scan patients' health records into electronic formats.	New	n/a	n/a	6	07/2013	Incumbent
29-2071.00	Schedule medical appointments for patients.	New	n/a	n/a	5	07/2013	Incumbent
29-2092.00	Counsel patients and families on communication strategies and the effects of hearing loss.	New	n/a	n/a	9	07/2012	Incumbent
29-2099.05	Educate patients on ophthalmic medical procedures, conditions of the eye, and appropriate use of medications.	New	n/a	n/a	4	07/2013	Occupational Expert
29-2099.05	Perform ophthalmic triage in the office or via phone to assess severity of patients' conditions.	New	n/a	n/a	5	07/2013	Occupational Expert
29-9011.00	Write reports.	New	n/a	n/a	4	08/2019	Occupational Expert
29-9091.00	Clean and sanitize athletic training rooms.	New	n/a	n/a	5	07/2014	Incumbent
29-9099.01	Perform annual gynecologic exams, including pap smears and breast exams.	New	n/a	n/a	10	07/2012	Incumbent
29-9099.01	Provide patients with contraceptive and family planning information.	Revision	17497	Provide postpartum patients with contraceptive and family planning information.	5	07/2012	Incumbent
31-1011.00	Assist patients with toileting and incontinent care.	New	n/a	n/a	7	07/2014	Incumbent
31-1011.00	Feed patients.	New	n/a	n/a	6	07/2014	Incumbent
31-2021.00	Document patient information, such as notes on their progress.	New	n/a	n/a	8	07/2013	Incumbent
31-2021.00	Instruct patients in proper body mechanics and in ways to improve functional mobility, such as aquatic exercise.	New	n/a	n/a	13	07/2013	Incumbent
31-2021.00	Perform therapeutic wound care.	New	n/a	n/a	7	07/2013	Incumbent
31-9011.00	Maintain massage areas by restocking supplies or sanitizing equipment.	New	n/a	n/a	6	07/2015	Occupational Expert
31-9093.00	Order medical supplies for healthcare facilities or laboratories.	New	n/a	n/a	6	07/2014	Incumbent
31-9096.00	Place orders to restock inventory of hospital or laboratory supplies.	New	n/a	n/a	6	07/2013	Incumbent
31-9097.00	Confirm the identities of patients by verifying their personal information.	New	n/a	n/a	4	08/2019	Occupational Expert
33-1011.00	Conduct evaluations of employees' performance.	New	n/a	n/a	5	07/2012	Incumbent
33-1021.02	Analyze burn conditions and results, and prepare postburn reports.	Revision	7896	Direct and supervise prescribed burn projects and prepare postburn reports, analyzing burn conditions and results.	5	07/2014	Incumbent
33-1021.02	Plan, direct, and supervise prescribed burn projects.	Revision	7896	Direct and supervise prescribed burn projects and prepare postburn reports, analyzing burn conditions and results.	5	07/2014	Incumbent
33-2011.01	Administer first aid and cardiopulmonary resuscitation to injured persons or provide emergency medical care such as basic or advanced life support.	Revision	2063	Administer first aid and cardiopulmonary resuscitation to injured persons.	14	07/2017	Incumbent
33-3011.00	Arrest persons in court when arrest warrants have been issued.	New	n/a	n/a	6	07/2011	Incumbent
33-3011.00	Provide assistance to the public, such as directions to court offices.	New	n/a	n/a	6	07/2011	Incumbent
33-3012.00	Take fingerprints of arrestees, prisoners, or the general public.	New	n/a	n/a	9	07/2016	Incumbent
33-3021.02	Take fingerprints.	New	n/a	n/a	5	08/2018	Incumbent
33-3021.06	Analyze intelligence data to identify patterns and trends in criminal activity.	New	n/a	n/a	4	07/2012	Occupational Expert
33-3021.06	Conduct presentations of analytic findings.	New	n/a	n/a	4	07/2012	Occupational Expert
33-3041.00	Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic or pedestrians.	Revision	7949	Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic.	5	07/2016	Incumbent
33-3051.03	Conduct community programs for all ages concerning topics such as drugs and violence.	New	n/a	n/a	7	07/2012	Incumbent
33-9021.00	Serve documents to parties named in legal proceedings.	New	n/a	n/a	5	07/2015	Incumbent
35-2011.00	Take out garbage.	New	n/a	n/a	5	08/2019	Incumbent
35-3011.00	Provide customers with directions or answers to questions.	New	n/a	n/a	18	07/2017	Incumbent
35-3021.00	Clean and organize eating, service, and kitchen areas and sweep and mop floors.	Revision	18736	Clean and organize eating, service, and kitchen areas.	27	07/2017	Incumbent
35-9011.00	Greet and seat customers.	New	n/a	n/a	5	07/2014	Incumbent
37-3011.00	Move furniture.	New	n/a	n/a	8	07/2015	Incumbent
37-3012.00	Establish driving routes for pesticide applications.	New	n/a	n/a	7	07/2015	Incumbent
37-3012.00	Record information about pesticide applications, such as the type used and amount applied.	New	n/a	n/a	9	07/2015	Incumbent
39-2011.00	Teach owners how to train their dogs.	New	n/a	n/a	13	07/2014	Incumbent
39-2011.00	Teach people with visual impairments to use guide dogs.	New	n/a	n/a	22	07/2014	Incumbent
39-2021.00	Scuba dive in aquariums to perform exhibit maintenance.	New	n/a	n/a	6	08/2019	Incumbent
39-2021.00	Train volunteers and facility staff.	New	n/a	n/a	9	08/2019	Incumbent
39-3012.00	Provide race or game information to patrons.	New	n/a	n/a	7	07/2014	Incumbent
39-3012.00	Serve drinks to patrons.	New	n/a	n/a	7	07/2014	Incumbent
39-3021.00	Clean the projection booth.	New	n/a	n/a	9	12/2005	Incumbent
39-3021.00	Perform regular maintenance tasks such as rotating or replacing xenon bulbs, cleaning projectors and lenses, lubricating machinery, and keeping electrical contacts clean and tight.	Revision	8036	Perform regular maintenance tasks such as rotating or replacing xenon bulbs, cleaning lenses, lubricating machinery, and keeping electrical contacts clean and tight.	10	12/2005	Incumbent
39-3092.00	Create patterns for costumes based on designer's drawings.	New	n/a	n/a	12	07/2016	Incumbent
39-3092.00	Schedule costume fittings for actors.	New	n/a	n/a	7	07/2016	Incumbent
39-3093.00	Maintain or repair athletic equipment.	New	n/a	n/a	5	07/2011	Incumbent
39-4011.00	Clean and disinfect areas in which bodies are prepared and embalmed.	New	n/a	n/a	10	07/2012	Incumbent
39-5091.00	Clean supplies such as makeup brushes.	New	n/a	n/a	5	08/2018	Occupational Expert
39-5093.00	Assist hair stylists with chemical services, such as neutralizing perms and applying hair color.	New	n/a	n/a	7	06/2008	Incumbent
39-5093.00	Launder and fold the towels that are used for drying customers' hair.	New	n/a	n/a	11	06/2008	Incumbent
39-5093.00	Refill and stock work stations with supplies, such as shampoos and conditioners.	New	n/a	n/a	7	06/2008	Incumbent
39-5093.00	Rinse out hair color or permanent solutions from customers' hair.	New	n/a	n/a	10	06/2008	Incumbent
39-5093.00	Sweep hair from the salon floor.	New	n/a	n/a	7	06/2008	Incumbent
39-6012.00	Order flowers for guests.	New	n/a	n/a	4	07/2012	Occupational Expert
39-9021.00	Administer bedside or personal care, such as assistance with ambulation, dressing, feeding, or personal hygiene.	Revision	2370	Administer bedside or personal care, such as ambulation or personal hygiene assistance.	18	07/2014	Incumbent
39-9041.00	Advise student organizations.	New	n/a	n/a	5	08/2019	Incumbent
41-9012.00	Pose for artists and photographers either with or without clothes.	Revision	13214	Pose for artists and photographers.	5	06/2007	Incumbent
41-9091.00	Contact customers to ensure their satisfaction with products or services.	New	n/a	n/a	5	08/2018	Occupational Expert
41-9091.00	Train new recruits or other employees.	New	n/a	n/a	7	08/2018	Occupational Expert
43-3021.01	Return checks to customers or retrieve checks returned to customers in error, adjusting accounts and answering inquiries about errors as necessary.	Revision	8141	Retrieve checks returned to customers in error, adjusting customer accounts and answering inquiries about errors as necessary.	9	07/2014	Incumbent
43-3021.02	Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.	New	n/a	n/a	5	07/2014	Incumbent
43-3051.00	Prepare and file payroll tax returns.	New	n/a	n/a	5	07/2016	Incumbent
43-4041.01	Call customers to collect payment on delinquent accounts.	New	n/a	n/a	8	12/2005	Incumbent
43-4041.02	Call customers to collect past due payments.	New	n/a	n/a	6	12/2005	Incumbent
43-4111.00	Recruit participants for focus groups.	New	n/a	n/a	5	07/2013	Incumbent
43-4121.00	Hire library staff such as student assistants.	New	n/a	n/a	26	08/2018	Incumbent
43-4171.00	Enter and update databases of contact information, such as names, addresses, and phone numbers.	New	n/a	n/a	7	07/2014	Incumbent
