O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	3.A.1	Related Work Experience	RW	10	12.63	27	7.39	3.52	36.41	N	07/2014	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	11	31.74	27	9.93	15.34	54.40	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	1	26.49	27	13.04	8.34	58.81	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	2	3.24	27	3.28	0.39	22.32	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	3	13.64	27	7.30	4.23	36.07	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	4	0.43	27	0.45	0.05	3.55	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	5	5.55	27	5.48	0.68	33.52	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	6	19.36	27	9.34	6.56	45.07	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	7	7.83	27	4.83	2.10	25.15	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	8	13.85	27	8.54	3.56	41.17	N	07/2014	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	9	9.61	27	8.11	1.54	41.99	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	1	36.53	27	11.81	16.81	62.12	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	2	9.55	27	6.47	2.22	32.97	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	3	12.50	27	8.23	2.96	40.14	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	4	2.89	27	2.95	0.34	20.49	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	5	14.38	27	7.08	4.89	35.40	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	6	12.08	27	6.06	4.08	30.74	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	7	7.83	27	4.83	2.10	25.15	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	8	4.23	27	4.27	0.50	27.80	N	07/2014	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	9	0.00	27	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.03	2.D.1	Required Level of Education	RL	1	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	2	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	3	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	4	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	5	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	6	42.31	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	7	19.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	8	30.77	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	9	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	10	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	11	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	12	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	1	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	2	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	3	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	4	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	5	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	6	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	7	19.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	8	15.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	9	26.92	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	10	15.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.1	Related Work Experience	RW	11	19.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	1	15.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	2	26.92	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	3	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	4	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	5	11.54	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	6	7.69	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	7	11.54	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	8	19.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.2	On-Site or In-Plant Training	PT	9	0.00	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	1	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	2	19.23	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	3	15.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	4	11.54	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	5	15.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	6	7.69	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	7	7.69	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	8	15.38	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1011.03	3.A.3	On-the-Job Training	OJ	9	3.85	26	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-1021.00	2.D.1	Required Level of Education	RL	1	0.00	55	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	15.20	55	5.68	6.90	30.24	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	9.00	55	7.37	1.60	37.56	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	19.18	55	6.91	8.85	36.70	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	8.59	55	4.24	3.09	21.71	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	29.29	55	9.64	14.01	51.29	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	14.58	55	7.77	4.66	37.35	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	0.80	55	0.81	0.10	5.89	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	3.37	55	3.20	0.48	20.02	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	0.00	55	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	0.00	55	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0.00	55	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	1	1.08	54	1.10	0.14	7.86	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	2	0.00	54	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	3	0.00	54	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	4	0.00	54	0.00	n/a	n/a	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	5	5.09	54	4.58	0.80	26.38	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	6	11.27	54	5.06	4.40	25.96	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	7	22.06	54	8.78	9.23	44.07	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	8	24.36	54	9.00	10.78	46.18	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	9	8.65	54	4.52	2.92	22.95	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	10	13.04	54	6.68	4.39	32.85	N	07/2015	Incumbent
11-1021.00	3.A.1	Related Work Experience	RW	11	14.44	54	7.77	4.57	37.32	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	1	6.82	54	3.77	2.18	19.41	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	2	27.29	54	9.39	12.69	49.24	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	3	12.03	54	7.51	3.19	36.20	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	4	15.58	54	6.95	6.01	34.74	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	5	16.76	54	7.80	6.16	38.20	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	6	11.53	54	5.41	4.31	27.40	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	7	4.83	54	2.73	1.52	14.30	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	8	4.84	54	4.14	0.83	23.57	N	07/2015	Incumbent
11-1021.00	3.A.2	On-Site or In-Plant Training	PT	9	0.31	54	0.32	0.04	2.36	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	1	3.68	54	2.99	0.70	17.16	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	2	24.78	54	7.86	12.39	43.42	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	3	8.56	54	3.74	3.47	19.61	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	4	18.25	54	6.91	8.11	36.11	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	5	30.95	54	8.09	17.34	48.93	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	6	6.28	54	4.98	1.21	26.78	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	7	2.68	54	2.18	0.51	12.86	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	8	4.50	54	4.12	0.68	24.39	N	07/2015	Incumbent
11-1021.00	3.A.3	On-the-Job Training	OJ	9	0.31	54	0.32	0.04	2.36	N	07/2015	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	1	6.16	27	5.88	0.80	34.72	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	2	9.82	27	5.94	2.67	30.19	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	3	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	4	7.67	27	5.32	1.74	28.00	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	5	8.04	27	5.48	1.87	28.62	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	6	60.02	27	9.98	38.97	77.92	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	7	2.42	27	2.41	0.31	16.76	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	8	5.87	27	4.19	1.30	22.88	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	9	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	10	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	11	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	12	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.98	23	0.22	1.52	2.43	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	1	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	2	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	3	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	4	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	5	14.20	27	7.64	4.36	37.53	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	6	13.73	27	6.83	4.64	34.24	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	7	21.74	27	8.15	9.41	42.64	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	8	26.52	27	8.50	12.83	46.94	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	9	16.49	27	7.77	5.83	38.65	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	10	2.42	27	2.41	0.31	16.76	N	08/2018	Incumbent
11-2011.00	3.A.1	Related Work Experience	RW	11	4.90	27	4.75	0.63	29.48	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	1	22.39	27	7.70	10.40	41.76	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	2	25.12	27	8.60	11.59	46.20	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	3	21.26	27	8.52	8.66	43.47	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	4	10.12	27	6.92	2.30	34.97	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	5	7.34	27	5.12	1.66	27.11	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	6	6.45	27	4.56	1.44	24.58	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	7	2.42	27	2.41	0.31	16.76	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.2	On-Site or In-Plant Training	PT	9	4.90	27	4.75	0.63	29.48	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	1	10.58	27	5.91	3.17	29.93	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	2	38.54	27	9.42	21.69	58.68	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	3	21.64	27	8.31	9.16	43.05	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	4	7.65	27	5.31	1.74	27.96	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	5	11.03	27	6.16	3.30	31.07	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	6	5.66	27	3.96	1.29	21.63	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	7	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	8	4.90	27	4.75	0.63	29.48	N	08/2018	Incumbent
11-2011.00	3.A.3	On-the-Job Training	OJ	9	0.00	27	0.00	n/a	n/a	N	08/2018	Incumbent
11-2011.00	3.A.4.a	Apprenticeship	IM	n/a	2.11	23	0.25	1.58	2.64	N	08/2018	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	1	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	2	3.53	37	3.56	0.44	23.40	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	3	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	4	2.80	37	2.07	0.61	11.88	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	5	3.03	37	2.06	0.75	11.48	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	6	55.76	37	16.96	23.82	83.56	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	7	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	8	24.36	37	9.60	10.06	48.09	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	9	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	10	10.52	37	9.00	1.66	44.97	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	11	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	12	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	1	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	2	1.43	37	1.46	0.17	10.69	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	3	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	4	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	5	9.04	37	6.85	1.80	35.00	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	6	7.23	37	4.34	2.05	22.44	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	7	12.08	37	6.27	3.99	31.28	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	8	18.80	37	8.06	7.35	40.33	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	9	14.98	37	8.92	4.08	42.18	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	10	33.99	37	10.86	16.17	57.87	N	07/2015	Incumbent
11-2021.00	3.A.1	Related Work Experience	RW	11	2.47	37	1.70	0.60	9.55	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	1	33.95	37	9.41	17.99	54.63	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	2	14.98	37	6.52	5.87	33.24	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	3	32.96	37	10.19	16.18	55.60	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	4	11.25	37	6.80	3.09	33.55	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	5	5.71	37	3.27	1.73	17.20	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	6	1.15	37	1.18	0.14	8.77	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	37	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	1	2.40	36	2.44	0.29	16.94	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	2	8.91	36	4.53	3.06	23.29	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	3	52.82	36	11.25	30.93	73.68	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	4	15.63	36	7.81	5.27	38.14	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	5	9.71	36	4.34	3.79	22.71	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	6	0.00	36	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	7	10.53	36	9.01	1.66	45.05	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	8	0.00	36	0.00	n/a	n/a	N	07/2015	Incumbent
11-2021.00	3.A.3	On-the-Job Training	OJ	9	0.00	36	0.00	n/a	n/a	N	07/2015	Incumbent
11-2022.00	2.D.1	Required Level of Education	RL	1	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	2	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	3	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	4	4.35	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	5	13.04	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	6	65.22	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	7	8.70	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	8	8.70	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	9	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	10	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	11	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	2.D.1	Required Level of Education	RL	12	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	1	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	2	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	3	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	4	4.35	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	5	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	6	13.04	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	7	13.04	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	8	26.09	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	9	34.78	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	10	8.70	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.1	Related Work Experience	RW	11	0.00	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	1	4.35	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
11-2022.00	3.A.2	On-Site or In-Plant Training	PT	2	21.74	23	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
